data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
33	248862	32874	0.5095	23.7535	-6.873026331
33	248862	135401907	-5.006	-4.743	-1.982824587
33	248862	2141	-8.24	-3.463	-42.40042647
33	248862	123608	3.631	6.877	-4.459393338
33	248862	2187	19.554	-1.464	5.326612128
33	248862	5284616	-4.856	1.269	-8.710472411
33	248862	9444	-0.244	15.568	0.308061358
33	248862	5360373	1.067	15.152	-27.06166007
33	248862	387447	12.122	18.597	-3.743582749
33	248862	2478	-4.022	-0.649	-4.268047062
33	248862	2578	-1.277	4.437	-5.010889756
33	248862	354624	-1.201	-0.896	-13.80849326
33	248862	441203	5.415	19.669	-0.952554459
33	248862	439693	-7.272	-8.623	-6.898975379
33	248862	2907	0.892	-0.488	-1.295177955
33	248862	3062316	-8.311	-2.29	-1.316229223
33	248862	148124	-0.628	0.677	-6.008234655
33	248862	24197464	-12.383	14.031	-16.8877127
33	248862	54611422	17.357	1.868	-6.236124251
33	248862	176871	7.07	-0.097	-1.098020335
33	248862	104741	28.742	-3.744	-9.110917545
33	248862	3690	4.279	-0.901	5.907284956
33	248862	57469	-2.703	-3.572	0.638150455
33	248862	6445540	5.866	53.177	-25.12694656
33	248862	208908	1.969	-1.813	-9.072379689
33	248862	5935	2.655	18.482	-0.274278789
33	248862	4114	3.815	2.013	2.527698416
33	248862	5746	-0.203	29.848	-33.24129011
33	248862	4211	24.249	-0.229	-9.767587216
33	248862	23615975	9.392	0.283	2.313501192
33	248862	451668	-30.068	12.076	-32.64650291
33	248862	21864423	1.341	24.129	-9.57321325
33	248862	54608520	0.923	2.795	-3.331455413
33	248862	36314	2.841	13.118	-20.15179483
33	248862	4842	1.53	7.202	-4.140475229
33	248862	148121	26.943	51.84	-3.853074731
33	248862	9703	-0.248	0.013	2.887694119
33	248862	6239	1.242	11.481	-12.06758787
33	248862	104842	1.083	18.813	-20.19687812
33	248862	216239	0.127	-0.365	1.420224651
33	248862	5329102	7.635	20.531	-3.350761886
33	248862	5426	4.492	1.68	-0.210070602
33	248862	60699	1.056	5.301	-16.87393089
33	248862	5799	-0.404	20.1	-15.97571726
33	248862	5388983	31.88	-3.79	-3.576057372
33	248862	68740	3.798	-2.078	-1.494825491
33	248862	5311	-9.45	8.163	-20.07073568
33	43834572	248862	18.226	0.376	-14.28896005
33	43834572	32874	29.373	23.7535	-5.255747173
33	43834572	135401907	22.674	2.995	-25.13726824
33	43834572	2141	34.248	-3.296	-29.16879813
33	43834572	123608	28.451	4.098	-3.171064184
33	43834572	2187	21.273	-1.458	-4.479794868
33	43834572	5284616	22.94	1.271	-10.16451487
33	43834572	9444	23.393	15.568	1.508401363
33	43834572	77082	20.898	-2.986	-18.94935487
33	43834572	5360373	27.831	15.152	-0.610754706
33	43834572	387447	23.819	36.246	-12.47364939
33	43834572	2478	19.638	-3.483	-2.135317433
33	43834572	426756	30.349	10.419	0.111123945
33	43834572	2578	21.792	4.308	-10.40413929
33	43834572	1546	19.301	4.99	-1.446026076
33	43834572	354624	23.542	-0.896	-1.900604818
33	43834572	441203	33.109	16.39	-12.05508503
33	43834572	439693	27.021	-1.362	-18.56801783
33	43834572	2907	28.907	-0.428	-24.94682363
33	43834572	6252	18.451	15.13	3.361996882
33	43834572	3062316	22.247	-2.29	-11.87499132
33	43834572	148124	17.239	0.677	0.236750883
33	43834572	24197464	22.125	-0.474	-9.578857134
33	43834572	54611422	29.966	13.698	0.762345065
33	43834572	176871	30.065	1.536	-18.4622982
33	43834572	657237	12.227	-7.279	-9.896235193
33	43834572	104741	23.452	-3.744	-19.76689628
33	43834572	3657	20.868	-4.012	-17.80492454
33	43834572	3690	32.149	-0.316	-42.32074705
33	43834572	5291	24.178	4.205	-12.82172126
33	43834572	57469	34.997	3.428	-8.7130416
33	43834572	6445540	27.481	58.122	-1.237840491
33	43834572	208908	17.947	-1.813	-18.29041826
33	43834572	5935	31.551	18.482	-2.029982943
33	43834572	667490	28.239	16.37	0.466675579
33	43834572	4114	28.397	-1.568	-26.07661851
33	43834572	5746	29.31	30.22	-2.283485374
33	43834572	4211	27.132	-0.229	-22.83680498
33	43834572	644241	17.887	-2.096	-15.82316465
33	43834572	23615975	29.044	-0.439	-28.84672378
33	43834572	451668	31.596	12.538	-3.983210832
33	43834572	21864423	27.89	24.129	-13.69353226
33	43834572	54608520	19.235	2.795	-12.91051745
33	43834572	36314	20.971	12.917	1.287937582
33	43834572	4842	27.17	8.776	-15.14852143
33	43834572	163659	24.378	14.53	-1.782363583
33	43834572	148121	25.109	51.84	-6.44089838
33	43834572	9703	23.117	-2.033	-13.07504855
33	43834572	6239	26.03	21.131	-2.850712563
33	43834572	5352062	11.858	34.006	-17.47111342
33	43834572	104842	19.272	18.813	-1.521950334
33	43834572	216239	22.444	-0.365	-11.13999999
33	43834572	5329102	21.529	20.531	-11.1196547
33	43834572	2733525	27.383	3.951	16.9882222
33	43834572	5394	26.782	9.936	-7.678638972
33	43834572	5426	26.274	-1.61	-23.23089507
33	43834572	60699	37.203	19.897	-3.884772968
33	43834572	444795	11.932	-2.323	-6.392673209
33	43834572	5799	25.324	20.1	-1.71699994
33	43834572	5388983	27.189	-3.79	-11.08669736
33	43834572	5388992	11.321	13.249	3.08317374
33	43834572	68740	24.469	-2.078	-10.6574664
33	43834572	5311	23.14	8.163	-8.323028437
33	3385	248862	24.878	7.151	-11.05697278
33	3385	43834572	50.588	34.939	-24.39457131
33	3385	2019	50.588	0.404	-31.59609697
33	3385	32874	50.588	29.93	-9.309244605
33	3385	135401907	50.588	9.072	-42.33742787
33	3385	2123	50.588	12.842	-26.35638677
33	3385	2141	36.458	-0.726	-17.23610481
33	3385	123608	50.588	2.187	-36.94999946
33	3385	2187	50.588	4	-27.78406937
33	3385	5284616	50.588	9.845	-25.21084527
33	3385	9444	50.588	-1.326	-46.55973986
33	3385	77082	50.588	8.357	-39.56620083
33	3385	5360373	23.885	22.763	-11.7624974
33	3385	387447	50.588	3.243	-16.26283384
33	3385	2478	50.588	7.951	-43.83333279
33	3385	426756	50.588	1.963	-25.93079199
33	3385	2578	50.588	0.262	-16.33946744
33	3385	2662	50.588	10.295	-26.65335096
33	3385	1546	50.588	9.294	-39.87932028
33	3385	354624	50.588	19.735	-10.40225271
33	3385	2708	50.588	6.962	-27.15366612
33	3385	439693	50.588	4.026	-32.50319852
33	3385	11626560	50.588	31.785	-8.523652076
33	3385	2907	50.588	-9.134	-32.58688834
33	3385	6252	50.588	2.549	-23.73596209
33	3385	3062316	31.557	5.699	-2.040481288
33	3385	148124	50.588	19.033	-9.966381974
33	3385	24197464	50.588	10.082	-22.24456454
33	3385	54611422	50.588	2.15	-36.77760712
33	3385	176871	50.588	-0.601	-26.46351022
33	3385	657237	50.588	0.933	-45.14889395
33	3385	104741	50.588	5.386	-29.08534232
33	3385	3657	50.588	-0.636	-43.54888786
33	3385	3690	50.588	-1.257	-51.2144439
33	3385	5291	50.588	-2.777	-28.91207359
33	3385	57469	50.588	-2.823	-13.33079353
33	3385	6445540	50.588	3.577	-19.4294047
33	3385	208908	50.588	-1.796	-23.68439911
33	3385	3902	50.588	6.865	-30.62685267
33	3385	5935	50.588	8.913	-32.73166296
33	3385	9927978	50.588	4.763	-22.73173589
33	3385	667490	50.588	19.55	-39.86309863
33	3385	126941	19.991	14.696	0.989716553
33	3385	4114	50.588	-15.587	-21.88978284
33	3385	5746	50.588	17.262	-23.90001758
33	3385	4211	50.588	1.842	-24.2415131
33	3385	644241	50.588	12.799	-21.88298648
33	3385	23615975	50.588	-0.272	-47.3334439
33	3385	451668	50.588	4.519	-43.10367566
33	3385	21864423	50.588	24.129	-10.15666531
33	3385	54608520	50.588	8.607	-23.35255725
33	3385	36314	50.588	24.088	-35.27427772
33	3385	4842	29.336	16.239	-6.445701553
33	3385	163659	50.588	8.751	-29.97811411
33	3385	148121	50.588	1.334	-17.23110154
33	3385	9703	50.588	7.816	-43.87306865
33	3385	6239	50.588	9.646	-28.14140923
33	3385	5352062	50.588	40.799	-13.79620461
33	3385	104842	50.588	15.358	-11.19987176
33	3385	216239	50.588	35.384	-12.80570004
33	3385	5329102	50.588	23.529	-16.1484524
33	3385	2733525	50.588	9.983	-32.57640822
33	3385	5394	50.588	-0.232	-20.53748917
33	3385	5426	50.588	-7.679	-17.68662477
33	3385	2723601	29.794	30.976	-8.396455187
33	3385	5453	50.588	2.928	-32.53595792
33	3385	60699	50.588	9.695	-9.248653049
33	3385	444795	50.588	18.924	-39.38439911
33	3385	42611257	50.588	-3.313	-14.77262915
33	3385	5388983	50.588	27.036	-13.62216726
33	3385	5388992	14.373	23.414	-5.114251985
33	3385	68740	50.588	9.615	-17.14062915
33	3385	5311	50.588	8.396	-24.02294283
33	132971	248862	11.285	3.879	-16.20130875
33	132971	43834572	11.285	34.939	12.80829726
