data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
70	3385	11960529	34.904	4.95	-14.9417521
70	3385	24856436	34.904	24.082	-7.218491977
70	3385	11977753	34.904	27.704	-6.230548618
70	3385	387447	34.904	31.949	-4.734509699
70	3385	3062316	34.904	41.762	3.68515675
70	3385	46926350	34.904	22.441	-10.98527654
70	3385	176870	34.904	30.977	2.829289787
70	3385	5288382	34.904	35.237	-1.044108756
70	3385	216453	34.904	15.97	-3.383348943
70	3385	208908	34.904	27.041	2.678856137
70	3385	24964624	34.904	25.643	-1.626909366
70	3385	24958200	34.904	16.539	-9.397263686
70	3385	24748204	34.904	-0.333	-10.48378323
70	3385	11520894	34.904	9.036	1.45230071
70	3385	16224745	34.904	30.419	-6.269121127
70	3385	9826528	34.904	42.411	-7.147930084
70	3385	216239	34.904	39.22	-12.88995133
70	3385	5329102	34.904	27.081	-7.8413941
70	3385	5394	34.904	-5.775	-35.82288356
70	3385	5311	34.904	22.873	-1.947926768
70	11960529	11977753	4.949	27.704	-35.19278613
70	11960529	46926350	4.949	22.441	-24.14045865
70	11960529	5288382	4.949	35.237	-4.088110358
70	11960529	11520894	4.949	9.036	-7.404500739
70	11960529	16224745	4.949	30.419	-47.22403378
70	11960529	71301229	4.949	39.852	-14.7026217
70	11960529	104842	4.949	18.744	-9.970768612
70	11960529	216239	4.949	39.22	-0.231512928
70	11960529	60700	4.949	47.778	-26.40712399
70	24856436	11960529	24.08	4.95	-43.32178331
70	24856436	11977753	24.08	27.704	9.385940096
70	24856436	387447	24.08	31.949	4.513268636
70	24856436	3062316	24.08	41.762	15.80453507
70	24856436	46926350	24.08	22.441	0.312132187
70	24856436	176870	24.08	30.977	12.29397086
70	24856436	5288382	24.08	35.237	-0.236844143
70	24856436	208908	24.08	27.041	17.01666308
70	24856436	24964624	24.08	25.643	4.763467049
70	24856436	24958200	24.08	16.539	2.597875165
70	24856436	24748204	24.08	-0.333	-28.10949434
70	24856436	11520894	24.08	9.036	12.41758608
70	24856436	16224745	24.08	30.419	16.08146448
70	24856436	71301229	24.08	39.852	-2.784939662
70	24856436	9826528	24.08	42.411	3.782445853
70	24856436	104842	24.08	18.744	12.86914425
70	24856436	216239	24.08	39.22	-10.15400041
70	24856436	60700	24.08	47.778	4.482494382
70	11977753	46926350	27.706	22.441	2.006874556
70	11977753	16224745	27.706	30.419	-60.12864734
70	11977753	71301229	27.706	39.852	-2.95093765
70	11977753	104842	27.706	18.744	5.112579339
70	11977753	216239	27.706	39.22	-11.27542344
70	387447	11960529	31.945	4.95	1.344481472
70	387447	11977753	31.945	27.704	7.143573494
70	387447	3062316	31.945	41.762	7.107559923
70	387447	46926350	31.945	22.441	-10.72023275
70	387447	5288382	31.945	35.237	-4.251816581
70	387447	11520894	31.945	9.036	6.904406379
70	387447	16224745	31.945	30.419	-61.13706336
70	387447	71301229	31.945	39.852	3.136660962
70	387447	104842	31.945	18.744	-0.637312391
70	387447	216239	31.945	39.22	-3.906638284
70	387447	60700	31.945	47.778	4.845348354
70	426756	11960529	1.847	4.95	1.20430015
70	426756	24856436	1.847	24.082	-62.86502186
70	426756	11977753	1.847	27.704	-60.87885804
70	426756	387447	1.847	31.949	5.656470029
70	426756	3062316	1.847	41.762	-12.91872797
70	426756	46926350	1.847	22.441	-26.96262663
70	426756	176870	1.847	30.977	-22.04516574
70	426756	5288382	1.847	35.237	-11.25604664
70	426756	216453	1.847	15.97	-13.26966135
70	426756	208908	1.847	27.041	-15.60741697
70	426756	24964624	1.847	25.643	-2.925044948
70	426756	24958200	1.847	16.539	-17.3731549
70	426756	24748204	1.847	-0.333	-1.025850864
70	426756	11520894	1.847	9.036	0.634163483
70	426756	16224745	1.847	30.419	-12.81432397
70	426756	9826528	1.847	42.411	-37.06847662
70	426756	216239	1.847	39.22	-23.69472583
70	426756	5329102	1.847	27.081	-49.03475121
70	426756	5394	1.847	-5.775	-7.376123094
70	426756	5311	1.847	22.873	-13.43403613
70	2907	11960529	3.273	4.95	-7.673483364
70	2907	24856436	3.273	24.082	-33.50484418
70	2907	11977753	3.273	27.704	-36.71066928
70	2907	387447	3.273	31.949	-2.865120582
