MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1212	54761306	23725625	0.044778667	0.052794889
1212	24856436	23725625	-0.015005894	0.002902
1212	24856436	54761306	-0.035409161	0.01992201
1212	16007391	23725625	-0.003291135	0.001902758
1212	16007391	54761306	-0.054716277	-0.040550843
1212	16007391	24856436	-0.021811057	-0.011328345
1212	118502708	24856436	-0.059529622	-0.037181443
1212	135151360	23725625	-0.021089711	-0.017142404
1212	118502708	54761306	-0.013649406	-0.005823346
1212	118502708	16007391	-0.019914378	-0.015709426
1212	54761306	23725625	0.012561227	0.022363713
1212	24856436	23725625	-0.052113622	-0.024831887
1212	24856436	54761306	0.018847409	0.070959589
1212	16007391	23725625	0.005256529	0.009887834
1212	16007391	54761306	-0.044157206	-0.029886446
1212	16007391	24856436	-0.055729138	-0.045740147
1212	118502708	24856436	-0.031570444	-0.0184908
1212	135151360	23725625	-0.026569524	-0.022252442
1212	118502708	54761306	-0.0276977	-0.020555116
1212	118502708	16007391	-0.010637407	-0.006093411
1212	54761306	23725625	0.000190776	0.01052301
1212	24856436	23725625	-0.038592692	-0.020007348
1212	24856436	54761306	-0.010128459	0.045392126
1212	16007391	23725625	-0.015665704	-0.008709298
1212	16007391	54761306	-0.047604697	-0.030604142
1212	16007391	24856436	-0.059520823	-0.046271279
1212	118502708	24856436	-0.057922911	-0.039617467
1212	135151360	23725625	-0.033457552	-0.027740227
1212	118502708	54761306	-0.015774427	-0.006363827
1212	118502708	16007391	-0.010756598	-0.005498114
1212	135151360	24856436	0.033343294	0.053884241
1212	135151360	118502708	0.029266119	0.039392997
1212	135151360	54761306	-0.009124379	0.004543352
1212	135151360	16007391	0.021641874	0.030937359
1212	46700756	23725625	-0.075851846	-0.065263855
1212	46700756	54761306	-0.03720302	0.00528535
1212	46700756	24856436	-0.000905683	0.053270828
1212	46700756	118502708	-0.034801624	-0.024286918
1212	46700756	135151360	-0.025490732	-0.002787732
1212	46700756	104842	-0.032569587	0.010330395
1212	104842	23725625	0.063205235	0.071302537
1212	31703	135151360	0.002421384	0.014470202
1212	90132565	23725625	-0.026587424	-0.022690792
1212	104842	118502708	0.064861179	0.07206633
1212	3082962	23725625	0.008967032	0.015631043
1212	135151360	24856436	0.015505332	0.041952117
