MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
271	54761306	23725625	0.024513931	0.038050511
271	24856436	23725625	-0.0417701	-0.014584181
271	24856436	54761306	-0.080659769	-0.020894005
271	16007391	23725625	0.001446465	0.010114299
271	16007391	54761306	-0.021763081	0.00124871
271	16007391	24856436	-0.002258986	0.012689815
271	118502708	24856436	-0.032277247	-0.010872044
271	135151360	23725625	-0.041716156	-0.033531813
271	118502708	54761306	-0.005713596	0.00759566
271	118502708	16007391	-0.032154125	-0.024046816
271	135151360	24856436	-0.032722582	-0.001669102
271	135151360	118502708	0.003699986	0.011534676
271	135151360	54761306	0.008662369	0.020672135
271	135151360	16007391	-0.003454169	0.009022062
271	46700756	23725625	-0.054931265	-0.036704444
271	46700756	54761306	0.000389364	0.047589861
271	46700756	24856436	0.065561248	0.108376349
271	46700756	118502708	-0.026518695	-0.005754504
271	46700756	135151360	-0.016050513	-0.003642229
271	46700756	104842	0.037947619	0.086184807
271	104842	23725625	0.055732079	0.066941924
271	31703	135151360	-0.036306923	-0.023769947
271	90132565	23725625	-0.039294237	-0.031962458
271	104842	118502708	0.029607469	0.041561527
271	3082962	23725625	-0.010372337	-0.003345466
271	131634760	24856436	-0.015767407	0.024826144
271	131634760	118502708	-0.021228255	-0.003582227
271	131634760	54761306	-0.022977631	0.000855384
271	131634760	16007391	-0.090493798	-0.051283308
271	131634760	135151360	-0.014993012	0.000213795
271	131634760	25227436	-0.008464949	0.005392269
271	131634760	52913813	-0.039802689	-0.018327241
271	131634760	10127622	-0.035241804	-0.006688665
271	131634760	49846579	-0.058916297	-0.040549183
271	86661883	54761306	-0.023553829	0.007888188
271	86661883	24856436	-0.043965782	-0.011335864
271	86661883	118502708	-0.059951826	-0.035648256
271	86661883	25227436	-0.049714536	-0.032944208
271	86661883	16007391	-0.023802372	-0.008189555
271	86661883	135151360	-0.023157615	-0.009533492
271	86661883	10127622	0.010559045	0.041102842
271	86661883	52913813	-0.085521629	-0.056785832
271	49846579	54761306	0.007754468	0.029975762
271	49846579	24856436	-0.036580379	-0.015103431
271	49846579	16007391	-0.042353972	-0.025783455
271	49846579	118502708	-0.045008765	-0.032439086
271	49846579	135151360	-0.047865467	-0.034928034
271	49846579	25227436	-0.052963635	-0.037843557
271	49846579	52913813	-0.039338894	-0.023718208
271	11707110	51001932	0.013637441	0.066216933
271	49846579	24771867	0.029224392	0.048630912
271	49846579	10127622	-0.065366321	-0.045957623
271	46700756	104842	0.073087149	0.108885289
271	86661883	10127622	0.020490985	0.051912462
271	86661883	52913813	-0.025732568	-0.000157433
271	49846579	54761306	-0.080862773	-0.043379226
271	49846579	24856436	-0.094229059	-0.07024173
271	49846579	16007391	-0.038894402	-0.024241751
271	49846579	118502708	-0.041212259	-0.028066809
271	49846579	135151360	-0.056152438	-0.042053901
271	49846579	25227436	-0.042411719	-0.028695285
271	49846579	52913813	-0.025301879	-0.012669311
271	11707110	51001932	0.056784098	0.087434423
271	49846579	24771867	-0.08119096	-0.057108106
271	49846579	10127622	-0.063081869	-0.034297529
271	46700756	104842	0.065137833	0.11183787
271	86661883	10127622	-0.038984337	0.011551086
271	86661883	52913813	-0.070624151	-0.040531095
271	49846579	54761306	-0.059957962	-0.026507915
271	49846579	24856436	-0.100757757	-0.074729842
271	49846579	16007391	-0.030051575	-0.014948583
271	49846579	118502708	-0.056220869	-0.039764462
271	49846579	135151360	-0.029247804	-0.015097188
271	49846579	25227436	-0.036880854	-0.022987066
271	49846579	52913813	-0.043372685	-0.030919825
271	11707110	51001932	0.040012607	0.08882027
271	49846579	24771867	0.016986133	0.036942048
271	49846579	10127622	0.004706333	0.022961276
271	46700756	104842	0.016676273	0.070685376
271	25227436	16007391	-0.0238968356454622	0.0051847887834094
271	25227436	54761306	-0.101105279055523	-0.0415760134114526
271	25227436	126689157	-0.0195723948280182	0.0088857656097837
271	25227436	118693659	-0.0020669907833633	0.0215776604337344
271	25227436	5330286	-0.0837243025915191	-0.0586642387941874
271	25227436	10127622	-0.025543796559416	0.0210326233686101
271	5330286	131634760	-0.0666340447105844	-0.0232086140509671
271	5330286	49846579	-0.0898691010883486	-0.0665343930915185
271	208908	11626560	0.0137886867679652	0.053176342997245
271	3062316	11707110	-0.0659056879688014	-0.0366129216552636
271	5330286	10127622	0.0127698487618664	0.0954421666633963
271	208908	24964624	0.0833019921795172	0.127403148893426
