data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
31	248862	32874	1.9105	28.0525	-21.23778952
31	248862	135401907	-4.396	-1.393	-2.252943676
31	248862	2141	-0.337	2.248	-1.191221631
31	248862	123608	0.125	8.377	-6.955157014
31	248862	2187	19.665	0.279	2.346324731
31	248862	5284616	-7.018	1.495	-5.28354532
31	248862	9444	-5.573	2.214	-12.0123027
31	248862	5360373	-2.388	20.04	-19.28783925
31	248862	2478	-3.412	8.315	-5.876759256
31	248862	2578	-1.294	2.696	-4.009947544
31	248862	354624	-7.92	2.578	-11.69077506
31	248862	441203	-2.251	31.92	-17.31884119
31	248862	439693	-4.247	0.643	-1.533217545
31	248862	2907	-7.861	-2.311	-5.60935813
31	248862	3062316	-2.663	5.181	-57.89986794
31	248862	148124	-6.676	1.908	-6.889511243
31	248862	24197464	-1.488	28.917	-35.2831227
31	248862	54611422	-8.06	3.639	-12.25842064
31	248862	176871	-4.939	11.646	-3.753205393
31	248862	104741	24.073	1.668	-6.520715802
31	248862	3690	-9.006	-2.406	-2.78150188
31	248862	57469	-2.539	-0.456	0.912494141
31	248862	6445540	1.538	50.641	-12.11688427
31	248862	208908	-2.307	6.582	-13.71736733
31	248862	5935	-2.76	19.605	-29.92266206
31	248862	4114	-8.078	-2.074	-6.160456055
31	248862	5746	-10.278	24.014	-32.79797601
31	248862	4211	29.841	-1.111	-21.68453578
31	248862	23615975	-8.066	-1.766	-5.523059709
31	248862	451668	0.139	-1.908	-1.40859292
31	248862	21864423	6.106	38.406	-38.33333667
31	248862	54608520	-1.702	3.019	-19.67348252
31	248862	36314	-8.387	3.485	-22.68427433
31	248862	4842	0.303	16.541	-0.22969561
31	248862	148121	34.293	62.281	-2.374202789
31	248862	9703	-7.692	-3.258	-2.181781776
31	248862	6239	-1.591	17.865	-25.14593692
31	248862	5352062	-8.317	29.908	-63.14763329
31	248862	104842	-5.454	8.596	-81.08053096
31	248862	216239	-1.926	-2.286	0.905301163
31	248862	5329102	-5.69	2.065	-5.296054534
31	248862	5426	-10.548	-3.23	-6.811561421
31	248862	60699	0.771	20.79	-37.82373077
31	248862	5799	-0.268	35.108	-19.74447017
31	248862	5388983	31.653	0.649	-28.14701244
31	248862	68740	-1.521	-2.447	-3.089824562
31	248862	5311	-5.811	3.034	-18.28570972
31	43834572	248862	12.012	-0.121	-36.37349345
31	43834572	32874	31.6795	28.0525	-4.602545071
31	43834572	135401907	31.842	-0.048	-67.4650669
31	43834572	2141	33.774	-0.504	-62.84657035
31	43834572	123608	33.394	0.207	-9.17407431
31	43834572	2187	19.927	0.279	-16.01802148
31	43834572	5284616	15.256	1.495	2.384821874
31	43834572	9444	16.136	2.214	-12.90030583
31	43834572	77082	23.366	-2.244	-39.70491706
31	43834572	5360373	19.165	20.04	-13.9407928
31	43834572	2478	30.028	8.925	-3.416392771
31	43834572	426756	34.38	12.866	-4.405954747
31	43834572	2578	34.013	1.321	-31.79207173
31	43834572	1546	29.475	13.517	-19.93630885
31	43834572	354624	18.572	2.578	-13.63398345
31	43834572	441203	44.466	54.043	-1.003254287
31	43834572	439693	31.987	1.032	-23.79270791
31	43834572	2907	31.687	-1.345	-57.80858184
31	43834572	6252	32.24	39.034	-2.378402169
31	43834572	3062316	24.264	5.181	-0.369205604
31	43834572	148124	17.018	1.908	-15.01049903
31	43834572	24197464	30.594	29.326	-12.46276404
31	43834572	54611422	32.238	11.321	-32.77655713
31	43834572	176871	31.452	6.987	-36.8960949
31	43834572	657237	33.989	3.138	-11.14889415
31	43834572	104741	15.883	1.668	-40.90021725
31	43834572	3657	30.377	2.151	-69.64329781
31	43834572	3690	13.769	-0.537	-75.2810148
31	43834572	5291	29.443	-4.098	-38.11672826
31	43834572	57469	33.983	-0.785	-13.96769302
31	43834572	6445540	31.225	64.92	-6.117832783
31	43834572	208908	26.669	6.582	-28.90565629
31	43834572	5935	28.302	19.605	-5.51614528
31	43834572	667490	30.161	14.513	-18.07592628
31	43834572	4114	19.371	0.593	-31.29296702
31	43834572	5746	25.206	40.396	1.404418995
31	43834572	4211	19.576	-1.111	-44.3713914
31	43834572	644241	24.351	-0.755	-41.29085603
31	43834572	23615975	18.723	-2.199	-34.99894489
31	43834572	451668	21.948	-1.793	-20.06312656
31	43834572	21864423	38.76	38.406	-4.320630649
31	43834572	54608520	17.255	3.019	-2.724164634
31	43834572	36314	19.737	3.485	-18.68021054
31	43834572	4842	30.474	20.126	-20.13851863
31	43834572	163659	28.643	9.398	-0.829257303
31	43834572	148121	25.593	62.281	-9.942378657
31	43834572	9703	27.852	-1.142	-40.77383249
31	43834572	6239	29.06	0.915	-35.15245796
31	43834572	5352062	17.425	29.908	-6.158363394
31	43834572	104842	16.63	8.596	-4.992582492
31	43834572	216239	25.856	-2.286	-30.35928189
31	43834572	5329102	23.767	2.065	-36.99678197
31	43834572	2733525	19.717	5.313	6.793668531
31	43834572	5394	30.766	-0.481	-37.12684983
31	43834572	5426	23.138	-0.282	-73.38704956
31	43834572	60699	37.134	20.649	-1.75659668
31	43834572	444795	34.76	15.833	0.485661796
31	43834572	5799	27.603	35.108	-1.95446217
31	43834572	5388983	18.499	0.649	-3.679314159
31	43834572	5388992	27.484	21.683	-9.505325443
31	43834572	68740	28.747	-2.445	-33.80455672
31	43834572	5311	16.867	3.034	-11.47517243
31	3385	248862	50.991	-2.529	-13.08741254
31	3385	43834572	52.608	54.918	3.318694307
31	3385	2019	52.608	-0.383	-0.057031017
31	3385	32874	52.608	38.315	-8.134141336
31	3385	135401907	52.608	0.073	-19.77623136
31	3385	2123	52.608	-4.667	-13.21041962
31	3385	2141	54.844	-1.645	-18.12970576
31	3385	123608	52.608	3.226	-13.33613149
31	3385	2187	52.608	0.368	-3.744061759
31	3385	5284616	52.608	36.137	2.567829269
31	3385	9444	52.608	-2.057	-7.129516935
31	3385	77082	52.608	-0.664	-12.13863544
31	3385	5360373	54.147	10.595	5.584509687
31	3385	387447	52.608	2.785	6.467008551
31	3385	2478	52.608	2.663	-7.032490749
31	3385	426756	52.608	22.354	-1.250385708
31	3385	2578	52.608	-3.848	-10.10676324
31	3385	2662	52.608	0.952	-8.081462511
31	3385	1546	52.608	-2.716	-2.57524291
31	3385	354624	52.608	33.497	-1.723164639
31	3385	2708	52.608	21.143	-1.990648565
31	3385	441203	52.608	-1.883	-6.084625299
31	3385	439693	52.608	2	-8.022432142
31	3385	11626560	52.608	4.612	4.829396192
31	3385	2907	52.608	0.723	-16.44824593
31	3385	6252	52.608	35.035	3.630017525
31	3385	3062316	56.829	19.551	2.64205719
31	3385	148124	52.608	29.656	1.062615414
31	3385	24197464	52.608	6.554	2.398372196
31	3385	54611422	52.608	0.792	-17.36437201
31	3385	176871	52.608	7.512	1.378206621
31	3385	657237	52.608	-0.712	-7.614909101
31	3385	104741	52.608	1.753	-2.74763059
31	3385	3657	52.608	-0.018	-21.10764734
31	3385	3690	52.608	1.024	-18.68213482
31	3385	5291	52.608	-3.445	-3.070958633
31	3385	57469	52.608	-0.79	-2.680254433
31	3385	6445540	52.608	0.822	2.417922735
31	3385	208908	52.608	8.249	3.288603301
31	3385	3902	52.608	-0.166	-4.458177834
31	3385	5935	52.608	5.543	0.713093087
31	3385	9927978	52.608	11.076	3.973824922
31	3385	667490	52.608	14.445	-1.941616651
31	3385	126941	54.701	37.834	0.863823275
31	3385	4114	52.608	2.079	-5.314353546
31	3385	5746	52.608	38.921	2.727576805
31	3385	4211	52.608	0.743	-9.111142407
31	3385	644241	52.608	-1.882	0.498239505
31	3385	23615975	52.608	1.724	-20.05857927
