data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
48	248862	32874	-0.5325	28.9395	-32.7154792
48	248862	135401907	-3.542	2.007	-5.022757776
48	248862	2141	-6.827	-4.995	-0.114289331
48	248862	123608	5.704	0.566	3.780070864
48	248862	2187	19.906	0.737	0.016324928
48	248862	5284616	-6.546	-0.868	-12.87050468
48	248862	5360373	-0.923	17.846	-25.91149692
48	248862	387447	-4.397	14.184	-4.27742262
48	248862	2478	-3.784	2.668	-4.851640825
48	248862	2578	-5.375	5.215	-10.01302327
48	248862	354624	-7.193	12.641	-25.46256711
48	248862	441203	4.376	36.755	-19.26784347
48	248862	439693	-8.704	-0.584	-8.090744929
48	248862	2907	3.746	0.1	0.163591774
48	248862	3062316	-6.907	-1.947	-5.076689889
48	248862	24197464	-3.7	7.828	-3.802705802
48	248862	54611422	-1.386	0.212	-5.507729215
48	248862	176871	-2.851	5.081	-11.36359294
48	248862	104741	24.506	3.321	-9.054588103
48	248862	3690	-1.565	0.603	1.649773184
48	248862	57469	1.032	2.245	-5.064699721
48	248862	6445540	-4.758	11.914	-13.01590172
48	248862	208908	3.135	5.889	-8.02239929
48	248862	5935	-4.348	19.5	-17.10725303
48	248862	4114	0.845	-0.061	2.866687685
48	248862	5746	-1.352	8.605	-7.785669747
48	248862	4211	21.302	-1.088	-13.19459362
48	248862	23615975	2.47	4.917	1.953617258
48	248862	451668	-19.649	-1.393	-17.89291055
48	248862	21864423	3.619	30.381	-37.31969111
48	248862	54608520	-0.948	-1.398	0.111090304
48	248862	4842	0.019	11.359	-7.263624104
48	248862	9703	2.302	-0.254	0.337769167
48	248862	6239	2.689	20.539	-36.33355
48	248862	216239	1.942	-1.011	-4.093839017
48	248862	5329102	-4.301	3.581	-4.452208838
48	248862	5426	-2.489	-2.928	3.50543612
48	248862	60699	-7.235	12.418	-17.48733386
48	248862	5799	-3.066	16.251	-16.63826666
48	248862	5388983	19.444	-3.056	-2.008167654
48	248862	68740	-0.58	-0.117	-5.100758331
48	43834572	248862	9.927	-0.645	-7.380190711
48	43834572	32874	22.128	28.9395	-2.958747211
48	43834572	135401907	8.368	-1.887	-10.38180044
48	43834572	2141	13.068	-1.033	-23.66149418
48	43834572	123608	20.198	11.336	-0.066895667
48	43834572	2187	23.642	0.737	-17.13274978
48	43834572	5284616	12.782	-0.868	-6.470785071
48	43834572	77082	13.603	0.342	-14.64646858
48	43834572	5360373	11.859	17.846	-3.775955305
48	43834572	387447	14.142	21.573	-3.422136856
48	43834572	2478	8.083	0.943	-13.92064334
48	43834572	426756	20.522	9.414	0.421867368
48	43834572	2578	18.334	5.732	-17.19554717
48	43834572	1546	20.29	26.255	-2.938013793
48	43834572	354624	11.866	12.641	-4.064673912
48	43834572	441203	7.516	33.842	-5.069155421
48	43834572	439693	8.825	-1.55	-43.23588619
48	43834572	2907	16.697	-2.043	-29.04118811
48	43834572	6252	16.016	23.984	-1.317067119
48	43834572	3062316	22.821	-1.947	-8.368680378
48	43834572	24197464	10.924	14.86	5.622431358
48	43834572	54611422	13.943	-2.93	-21.39790344
48	43834572	176871	16.804	5.891	-10.42674135
48	43834572	657237	18.393	13.951	-7.909069662
48	43834572	104741	22.65	3.321	-16.75951777
48	43834572	3657	12.134	-0.715	-12.2203947
48	43834572	3690	19.421	-2.163	-25.94708683
48	43834572	5291	15.696	-3.826	-11.09144835
48	43834572	57469	14.777	-0.555	-5.372071744
48	43834572	6445540	17.918	24.902	1.16761087
48	43834572	208908	14.485	5.889	0.623802165
48	43834572	5935	8.673	19.5	-4.697654815
48	43834572	667490	13.969	30.243	-6.484453741
48	43834572	4114	16.41	-0.776	-25.65020618
48	43834572	5746	16.12	5.108	-7.95540305
48	43834572	4211	14.803	-1.088	-19.24790691
48	43834572	644241	8.912	0.847	-8.459210696
48	43834572	23615975	15.105	1.848	-13.72291553
48	43834572	451668	17.547	2.919	-20.14120849
48	43834572	21864423	29.988	30.381	1.188530062
