data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
5	248862	32874	0.844	27.108	-18.26917751
5	248862	135401907	-7.733	2.429	-7.70000144
5	248862	2141	5.33	-2.307	-14.91901882
5	248862	123608	2.46	7.599	1.589483392
5	248862	2187	40.412	0.483	-3.90827618
5	248862	5284616	-6.665	2.76	-18.69166056
5	248862	9444	-3.732	5.259	0.01962604
5	248862	5360373	1.418	33.204	-41.84655998
5	248862	387447	-14.44	15.829	-41.49870272
5	248862	2478	2.548	-1.986	-1.277917425
5	248862	2578	-5.154	0.501	1.042191407
5	248862	354624	-8.261	8.188	-39.13538559
5	248862	441203	2.857	43.336	-10.07766471
5	248862	439693	-4.53	0.648	2.164381281
5	248862	2907	-7.215	-0.887	8.261529348
5	248862	3062316	4.579	3.199	-5.000807284
5	248862	148124	0.466	-0.149	0.121927717
5	248862	24197464	-9.713	-0.88	-6.617306156
5	248862	54611422	-9.656	-2.255	1.098242355
5	248862	176871	0.911	0.839	-5.856259325
5	248862	104741	40.843	-3.985	-13.57279088
5	248862	3690	9.567	-0.242	-9.89292977
5	248862	57469	-5.305	-3.713	0.634418628
5	248862	6445540	2.773	37.359	-27.70033554
5	248862	208908	-1.113	-0.173	0.48809059
5	248862	5935	-8.049	20.814	-31.64945119
5	248862	4114	4.703	3.051	3.851935867
5	248862	5746	1.701	46.381	-41.6644202
5	248862	4211	33.061	-0.512	-9.97868589
5	248862	23615975	11.184	-0.752	-9.413486631
5	248862	451668	-10.342	1.74	-10.88596357
5	248862	21864423	3.061	25.936	-6.548011912
5	248862	54608520	3.507	-0.071	-1.482634812
5	248862	36314	0.355	26.153	-62.18393651
5	248862	4842	-5.111	19.403	-13.31683885
5	248862	9703	0.959	1.548	3.584674864
5	248862	6239	-1.694	14.755	-19.61932446
5	248862	5352062	-2.066	22.884	-77.50212533
5	248862	104842	-1.902	17.32	-21.14885943
5	248862	216239	1.412	-2.275	2.957145341
5	248862	5329102	4.141	0.668	-5.469281247
5	248862	5426	-4.28	1.008	7.946581749
5	248862	60699	5.396	14.602	0.58935911
5	248862	5799	-2.563	34.179	-25.74856775
5	248862	5388983	32.452	-0.81	-0.244286759
5	248862	68740	-2.278	-4.471	-0.563639563
5	248862	5311	-2.586	6.017	-8.507991768
5	43834572	248862	4.579	-1.272	-9.035482648
5	43834572	32874	12.822	27.108	1.363552225
5	43834572	135401907	4.392	2.416	-9.302793731
5	43834572	2141	5.151	-4.086	-2.96047355
5	43834572	123608	7.383	5.21	-34.74018451
5	43834572	2187	6.941	0.483	-10.00252308
5	43834572	5284616	-1.339	2.76	-0.637011916
5	43834572	9444	5.642	5.259	1.010944099
5	43834572	77082	6.812	-1.228	-15.33594448
5	43834572	5360373	11.3	33.204	-3.098733613
5	43834572	387447	14.88	40.062	-6.738044513
5	43834572	2478	4.925	4.655	-2.128389274
5	43834572	426756	4.342	5.216	0.770741487
5	43834572	2578	3.305	0.165	1.751981534
5	43834572	1546	15.647	34.172	-9.860510065
5	43834572	354624	3.369	8.188	-2.308604865
5	43834572	441203	1.315	43.191	-3.383447585
5	43834572	439693	4.173	-2.527	-6.358928153
5	43834572	2907	5.66	1.394	-8.929930299
5	43834572	6252	13.818	37.764	5.404768613
5	43834572	3062316	9.284	3.199	-9.150371289
5	43834572	148124	13.55	-0.149	-6.786934829
5	43834572	24197464	6.832	2.234	-34.57607462
5	43834572	54611422	0.525	2.033	-6.855962284
5	43834572	176871	3.235	0.454	1.606418808
5	43834572	657237	11.24	5.146	-16.45100101
5	43834572	104741	6.308	-3.985	-11.70814769
5	43834572	3657	8.379	0.771	-12.6178935
5	43834572	3690	9.669	2.435	-7.260656035
5	43834572	5291	2.658	-0.309	-7.044889123
5	43834572	57469	4.253	-1.723	-3.539843311
5	43834572	6445540	2.609	45.657	-4.95797166
5	43834572	208908	4.363	-0.173	-4.57908265
5	43834572	5935	1.384	20.814	-0.123494059
5	43834572	667490	7.973	15.117	-2.401956366
5	43834572	4114	3.452	5.309	-9.483255605
5	43834572	5746	5	40.925	-7.609141558
5	43834572	4211	11.523	-0.512	-66.96366148
5	43834572	644241	2.226	0.647	-4.660393209
5	43834572	23615975	-5.359	-0.515	-11.10421916
5	43834572	451668	3.635	6.368	-1.9321138
5	43834572	21864423	19.209	25.936	-0.666726043
5	43834572	54608520	4.399	-0.071	-0.373405142
5	43834572	36314	2.134	26.153	-4.010672389
5	43834572	4842	1.954	19.509	1.500678988
5	43834572	163659	7.465	14.131	-8.987116135
5	43834572	148121	9.556	41.186	-11.34418037
5	43834572	9703	0.555	0.953	-4.266030872
5	43834572	6239	3.99	17.001	-0.898255951
5	43834572	5352062	8.478	22.884	-26.17698846
5	43834572	104842	7.443	17.32	-3.974233651
5	43834572	216239	7.408	-2.275	-93.54657035
5	43834572	5329102	6.189	0.669	-38.77440602
5	43834572	2733525	12.234	1.608	-27.00043738
5	43834572	5394	10.791	-1.71	-89.7365696
5	43834572	5426	0.712	-0.142	-2.808293302
5	43834572	60699	7.583	17.638	0.487396088
5	43834572	444795	6.465	0.362	-13.9304948
5	43834572	5799	5.383	34.179	-1.60963195
5	43834572	5388983	4.175	-0.81	1.156993399
5	43834572	5388992	12.97	6.877	-8.616416309
5	43834572	68740	6.802	-4.471	-16.6833454
5	43834572	5311	2.608	6.017	1.153584092
5	3385	248862	25.041	-0.499	-8.446485944
5	3385	43834572	35.154	21.696	-7.927853261
5	3385	11960529	29.726	1.194	-15.92216204
5	3385	2019	35.154	0.424	-12.53201208
5	3385	32874	35.154	35.24	-1.884935704
5	3385	135401907	35.154	11.845	-16.74407229
5	3385	2123	35.154	-0.959	-16.7623572
5	3385	2141	24.815	1.67	-9.17545062
5	3385	123608	35.154	8.428	-12.29444823
5	3385	2187	35.154	3.296	-11.25917836
5	3385	5284616	35.154	16.913	-3.042589609
5	3385	9444	35.154	0.501	-9.724566824
5	3385	24856436	29.726	51.891	-5.302578264
5	3385	77082	35.154	0.538	-17.95153244
5	3385	11977753	29.726	41.486	-0.205387643
5	3385	5360373	24.887	14.589	2.296770311
5	3385	387447	30.8116	40.1156	-5.239035429
5	3385	2478	35.154	1.644	-19.07487801
5	3385	426756	35.154	31.053	-6.366975513
