MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
322	54761306	23725625	0.030992045	0.044978664
322	24856436	23725625	-0.057633059	-0.015087676
322	24856436	54761306	-0.01464391	0.03579229
322	16007391	23725625	-0.010275431	0.011100816
322	16007391	54761306	-0.073748153	-0.04308372
322	16007391	24856436	-0.067912636	-0.048490207
322	118502708	24856436	-0.02793727	-0.005166395
322	135151360	23725625	-0.072035005	-0.05313513
322	118502708	54761306	-0.032853088	-0.011864047
322	118502708	16007391	-0.049897821	-0.033802602
322	54761306	23725625	0.010168196	0.02615817
322	24856436	23725625	-0.055199779	-0.027735461
322	24856436	54761306	-0.002694466	0.013728965
322	16007391	23725625	-0.050308926	-0.036650577
322	16007391	54761306	-0.037752994	-0.022520592
322	16007391	24856436	-0.051846909	-0.03362942
322	118502708	24856436	-0.043619241	-0.028276042
322	135151360	23725625	-0.040468649	-0.025333444
322	118502708	54761306	-0.044671664	-0.029564892
322	118502708	16007391	-0.044765267	-0.033559082
322	135151360	24856436	0.008308939	0.033457364
322	135151360	118502708	0.008478571	0.029456688
322	135151360	54761306	0.054620636	0.076618163
322	135151360	16007391	-0.017584672	0.002833164
322	46700756	23725625	0.004774297	0.021757187
322	46700756	54761306	-0.013298853	0.003074406
322	46700756	24856436	-0.002848669	0.020602686
322	46700756	118502708	-0.011001754	0.008887655
322	46700756	135151360	-0.043483059	-0.020192169
322	46700756	104842	-0.093152716	-0.056663849
322	104842	23725625	-0.005757173	0.00706938
322	31703	135151360	-0.006186217	0.010093073
322	90132565	23725625	-0.043017192	-0.030765321
322	104842	118502708	-0.018752482	-0.006399839
322	3082962	23725625	-0.036713411	-0.024456315
322	135151360	24856436	0.003990351	0.029390892
322	135151360	118502708	-0.00821702	0.011128698
322	135151360	54761306	0.015990053	0.036190886
322	135151360	16007391	-0.022227667	-0.002729844
322	46700756	23725625	-0.048257052	-0.026305166
322	46700756	54761306	0.009739503	0.027130123
322	46700756	24856436	-0.045068795	-0.007331236
322	46700756	118502708	0.003158118	0.021060934
322	46700756	135151360	-0.05135982	-0.017747882
322	46700756	104842	-0.034735553	-0.005344309
322	104842	23725625	0.011117983	0.023572133
322	31703	135151360	0.02269495	0.03966466
322	90132565	23725625	-0.041808402	-0.030053057
322	104842	118502708	-0.009585371	0.009034929
322	3082962	23725625	-0.0253286	-0.013604435
322	131634760	24856436	0.071076018	0.102688839
322	131634760	118502708	-0.013458761	0.027295605
322	131634760	54761306	0.051898029	0.071255843
322	131634760	16007391	0.015819884	0.042033203
322	131634760	135151360	-0.069000406	-0.026203165
322	131634760	25227436	-0.054338962	-0.035323835
322	131634760	52913813	0.016410694	0.042294279
322	131634760	10127622	-0.088608823	-0.046353905
322	131634760	49846579	-0.042411044	-0.017128012
322	86661883	54761306	-0.089142889	-0.055050262
322	86661883	24856436	-0.010755449	0.008606276
322	86661883	118502708	-0.009632371	0.007625295
322	86661883	25227436	-0.071995716	-0.048759966
322	86661883	16007391	-0.032485641	-0.018793508
322	86661883	135151360	-0.039803615	-0.022275705
322	131634760	24856436	-0.045025131	-0.012988377
322	131634760	118502708	-0.045217618	-0.016856009
322	131634760	54761306	0.033703385	0.052801102
322	131634760	16007391	-0.035554831	-0.012485251
322	131634760	135151360	-0.140487048	-0.099186892
322	131634760	25227436	0.007307146	0.026079855
322	131634760	52913813	-0.020882771	0.006502692
322	131634760	10127622	-0.04738337	-0.023700709
322	131634760	49846579	-0.034606946	-0.020441155
322	86661883	54761306	-0.032982397	-0.01766131
322	86661883	24856436	-0.03816101	-0.019333964
322	86661883	118502708	-0.045114395	-0.031930272
322	86661883	25227436	-0.03089653	-0.015078978
322	86661883	16007391	-0.047648714	-0.034209746
322	86661883	135151360	-0.039339379	-0.025110848
322	131634760	24856436	0.033460197	0.06457035
322	131634760	118502708	-0.013857586	0.008972242
322	131634760	54761306	-0.017931016	0.002344547
322	131634760	16007391	-0.039829028	-0.010489638
322	131634760	135151360	-0.058474697	-0.024182859
322	131634760	25227436	-0.015011991	0.004410098
322	131634760	52913813	0.006244446	0.030038264
322	131634760	10127622	0.023958905	0.044711185
322	131634760	49846579	-0.04233399	-0.027858556
322	86661883	54761306	-0.045809575	-0.025935702
322	86661883	24856436	-0.056389998	-0.03655507
322	86661883	118502708	-0.039153719	-0.025102615
322	86661883	25227436	-0.021911337	-0.008443835
322	86661883	16007391	-0.048897423	-0.035565044
322	86661883	135151360	-0.067055809	-0.051016721
322	86661883	10127622	0.010920167	0.033119977
322	86661883	52913813	-0.012721474	0.009170894
322	49846579	54761306	-0.05400621	-0.031189533
322	49846579	24856436	-0.075036129	-0.053047755
322	49846579	16007391	-0.044033173	-0.023441037
322	49846579	118502708	-0.03646014	-0.017066963
322	49846579	135151360	-0.078761214	-0.054611583
322	49846579	25227436	-0.030565904	-0.012046806
322	49846579	52913813	0.056594236	0.072692161
322	11707110	51001932	0.136232797	0.186259797
322	49846579	24771867	-0.045724822	-0.02674233
322	49846579	10127622	-0.073196034	-0.052543928
322	46700756	104842	0.012682431	0.026877855
