MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
350	135151360	24856436	-0.05423604	-0.020892763
350	135151360	118502708	0.035202241	0.042497809
350	135151360	54761306	-0.007327226	0.003808215
350	135151360	16007391	0.017008332	0.035334174
350	46700756	23725625	-0.068214471	-0.05600598
350	46700756	54761306	-0.011733596	0.03387365
350	46700756	24856436	0.074970452	0.131448506
350	46700756	118502708	-0.003769166	0.010311581
350	46700756	135151360	-0.008546406	0.009650954
350	46700756	104842	0.020734031	0.067087341
350	104842	23725625	0.124012773	0.13161389
350	31703	135151360	0.091482634	0.107353582
350	90132565	23725625	-0.006619879	-0.002312574
350	104842	118502708	0.111844702	0.121846591
350	3082962	23725625	0.007461215	0.012550305
350	54761306	23725625	0.032972026	0.041441154
350	24856436	23725625	-0.032519396	-0.018452193
350	24856436	54761306	-0.023872138	0.032933023
350	16007391	23725625	-0.00705294	-7.57e-05
350	16007391	54761306	0.014397277	0.036362785
350	16007391	24856436	-0.008585482	0.008200045
350	118502708	24856436	-0.007049781	0.002437426
350	135151360	23725625	-0.011387785	-0.003308203
350	118502708	54761306	0.025728515	0.03889903
350	118502708	16007391	0.013645053	0.021784301
350	131634760	24856436	0.001443714	0.018279141
350	131634760	118502708	0.03092395	0.041304598
350	131634760	54761306	-0.028332142	-0.011641529
350	131634760	16007391	0.076064345	0.094658893
350	131634760	135151360	0.045024343	0.056307164
350	131634760	25227436	-0.004134013	0.012518458
350	131634760	52913813	-0.003620624	0.011147407
350	131634760	10127622	-0.026314384	-0.013492692
350	131634760	49846579	-0.00909614	-0.000809129
350	86661883	54761306	-0.031947823	-0.020422773
350	86661883	24856436	-0.012862469	-0.00263197
350	86661883	118502708	0.000706063	0.005743561
350	86661883	25227436	-0.026820513	-0.015221725
350	86661883	16007391	0.106237277	0.112768965
350	86661883	135151360	-0.01330658	-0.006717778
350	86661883	10127622	0.026463928	0.033371836
350	86661883	52913813	0.02330075	0.031668882
350	49846579	54761306	-0.078742395	-0.042818002
350	49846579	24856436	0.049365799	0.08906432
350	49846579	16007391	0.034530915	0.055653463
350	49846579	118502708	-0.01211499	0.005266995
350	49846579	135151360	-0.029980949	-0.015854401
350	49846579	25227436	-0.008966754	0.010084074
350	49846579	52913813	0.014404149	0.02290031
350	11707110	51001932	0.161965886	0.199026217
350	49846579	24771867	0.017959757	0.050019952
350	49846579	10127622	-0.00835488	0.001758007
350	46700756	104842	0.031678341	0.082785637
350	25227436	16007391	0.0137254739694079	0.0587471865323451
350	25227436	54761306	-0.0719100515304003	-0.0023742029822264
350	25227436	126689157	-0.0216170928676298	-0.0027068551824424
350	25227436	118693659	-0.0019037225353685	0.046893265164049
350	25227436	5330286	0.0387960818090781	0.0921181604208016
350	25227436	10127622	-0.0186087099573273	0.0123970541347793
350	5330286	131634760	0.0210342161255894	0.0388383265688882
350	5330286	49846579	0.0118953115326344	0.027419005472885
350	208908	11626560	-0.0258818983660147	0.0258779920458432
350	3062316	11707110	-0.052298510556752	0.000152653453745589
350	5330286	10127622	0.0219339630869224	0.0542334027249228
350	208908	24964624	0.0860363296458928	0.126936989944237
350	118693659	24856436	-0.0899042903073643	0.0024250052252905
350	118693659	131634760	-0.014165242505803	0.0039637167673029
350	118693659	54761306	-0.0012457281880059	0.0652402760652649
350	118693659	16007391	-0.0547755896543922	-0.0015890101599508
350	118693659	49846579	-0.0617417493533666	-0.0474122090899621
350	118693659	10127622	0.0308309191472299	0.0645083393141028
350	68289010	131634760	-0.0353129712912663	-0.0190280244995288
350	68289010	49846579	-0.0309982640146231	-0.0216277519194822
350	10127622	54761306	-0.0115094749392423	0.0089170918034955
350	10127622	16007391	0.0522121472500935	0.0814652379725306
350	123631	126689157	-0.0342884211768153	-0.0144386847624094
350	10127622	24856436	-0.0405722090914927	-0.0163916898231972
350	10127622	126689157	-0.0159268459156746	-0.0049669520008109
350	54761306	60749	0.0342738186495207	0.0834117303826839
350	24856436	60749	0.0186628951728813	0.0829483844845946
350	72165232	60749	-0.0013053469946957	0.0506350097045589
350	52913813	25227436	-0.0301040459246664	-0.0019902461829664
350	52913813	5330286	0.0281398790259873	0.0608662459497358
350	131634760	60749	-0.0107049105142768	0.0118074020522553
350	86661883	36314	0.0252874290549036	0.0279635112955615
350	131634760	36314	-0.0030204956427061	0.0017431843919779
350	23725625	86661883	-0.0379426046929426	-0.0269550442810432
350	23725625	118693659	-0.0775073468775831	-0.0606230075762242
350	23725625	131634760	-0.0357947439701682	-0.0237126453932295
350	23725625	49846579	-0.0205927955034485	-0.0146682886488158
350	54761306	10339178	-0.0226422391552786	-0.0070662759924742
350	131634760	208908	0.0632497652501495	0.0865702489689882
350	135151360	36462	0.104800677930351	0.129312144623575
350	86661883	208908	0.0269684318105547	0.0524566299769217
350	24856436	104842	-0.0150363222726276	0.0523419628043144
350	72165232	3385	-0.0379429772926254	0.0017492484220928
350	72165232	24856436	0.0441558685856492	0.113857647638589
350	51001932	24866313	0.0576898664619843	0.0984315096102897
350	208908	10127622	-0.0257436703831226	-0.0081130013812445
350	11626560	10127622	-0.0365737085495236	-0.0228097814088945
350	86661883	60749	-0.0498065212505076	-0.0403728980595196
350	72165232	104842	-0.0627667914959833	-0.0071606686570651
350	11626560	3062316	0.0526196456078131	0.0795552977548256
350	49846579	208908	-0.0199827562035985	-0.0113818606235205
