MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
2037	54761306	23725625	-0.016044298	0.017874895
2037	24856436	23725625	-0.048812296	-0.029194484
2037	24856436	54761306	-0.047434374	0.019884655
2037	16007391	23725625	-0.031227677	-0.01869585
2037	16007391	54761306	-0.082885289	-0.066523094
2037	16007391	24856436	-0.019978509	-0.001712807
2037	118502708	24856436	-0.08951603	-0.059499765
2037	135151360	23725625	-0.046077602	-0.030671288
2037	118502708	54761306	0.001547814	0.020864637
2037	118502708	16007391	-0.032239482	-0.021489784
2037	135151360	24856436	-0.019935828	0.035585936
2037	135151360	118502708	0.056654889	0.069390725
2037	135151360	54761306	0.027371845	0.053604288
2037	135151360	16007391	-0.008128809	0.013371622
2037	46700756	23725625	-0.060205247	-0.040046838
2037	46700756	54761306	-0.033703664	0.030586867
2037	46700756	24856436	0.001903041	0.084444852
2037	46700756	118502708	-0.018312157	0.018567487
2037	46700756	135151360	-0.001426084	0.0306548
2037	46700756	104842	-0.126966905	-0.047482257
2037	104842	23725625	0.128955148	0.143989655
2037	31703	135151360	0.045193552	0.084362662
2037	90132565	23725625	-0.027579937	-0.018249532
2037	104842	118502708	0.002484202	0.021507808
2037	3082962	23725625	-0.05572957	-0.043123654
2037	131634760	24856436	-0.038527397	0.014137374
2037	131634760	118502708	0.003408537	0.022267795
2037	131634760	54761306	0.012094754	0.039095986
2037	131634760	16007391	-0.04027757	-0.015692199
2037	131634760	135151360	-0.0308165	-0.006603563
2037	131634760	25227436	-0.066441823	-0.044845478
2037	131634760	52913813	-0.057559777	-0.034226556
2037	131634760	10127622	-0.028668717	-0.00646787
2037	131634760	49846579	-0.050381396	-0.037115946
2037	86661883	54761306	-0.008525057	0.021585673
2037	86661883	24856436	0.015158805	0.038122629
2037	86661883	118502708	-0.041283367	-0.027498013
2037	86661883	25227436	-0.060625945	-0.04236841
2037	86661883	16007391	-0.042775485	-0.028010362
2037	86661883	135151360	-0.038574195	-0.023075795
2037	86661883	10127622	0.030569728	0.085982428
2037	86661883	52913813	-0.044713838	0.004523218
2037	49846579	54761306	-0.049731665	-0.007615409
2037	49846579	24856436	0.038108007	0.06060399
2037	49846579	16007391	-0.048338665	-0.028606518
2037	49846579	118502708	-0.028254131	-0.010051324
2037	49846579	135151360	-0.115402309	-0.088633747
2037	49846579	25227436	-0.105432245	-0.076003853
2037	49846579	52913813	-0.054982302	-0.036762048
2037	11707110	51001932	0.089629746	0.143961523
2037	49846579	24771867	-0.022197529	-0.000969444
2037	49846579	10127622	-0.025455242	-0.004230559
2037	46700756	104842	-0.049087803	0.039738632
2037	25227436	16007391	-0.0112918367581531	0.0211811925302158
2037	25227436	54761306	-0.0657417791428632	-0.0022179699315635
2037	25227436	126689157	-0.034743290306394	0.0096855212577097
2037	25227436	118693659	0.0528619970971962	0.0776740134989675
2037	25227436	5330286	0.0429882195793634	0.0743536313443399
2037	25227436	10127622	0.0312407773292167	0.0992213455095001
2037	5330286	131634760	-0.0193043649201071	0.0101345280021612
2037	5330286	49846579	-0.0512773307889918	-0.0292018194806149
2037	208908	11626560	-0.0300340216246922	0.0216778143189737
2037	3062316	11707110	0.119261742277225	0.222708036832473
2037	5330286	10127622	-0.0417491785229225	0.0146253036921355
2037	208908	24964624	0.0083039659033945	0.0438128211120205
2037	118693659	24856436	-0.0762875337978358	0.0242818699035306
2037	118693659	131634760	-0.0241818075678103	0.0161317930658014
2037	118693659	54761306	-0.0203858395173542	0.0464481230625809
2037	118693659	16007391	-0.0234350927311489	0.0027562540298591
2037	118693659	49846579	-0.107733769504954	-0.0676510390914629
2037	118693659	10127622	-0.0033993395966823	0.0908470553113234
2037	68289010	131634760	-0.0414683965651077	-0.0209892616058343
2037	68289010	49846579	-0.043553371345476	-0.019746293481576
2037	10127622	54761306	0.0071790402841037	0.0747961707992687
2037	10127622	16007391	-0.0324078702749383	-0.0092545089525222
2037	123631	126689157	-0.0388129050192537	-0.0145729534911791
2037	10127622	24856436	-0.0805561168557495	-5.39275112886434e-06
2037	10127622	126689157	0.0379460801756732	0.0678070088010617
2037	54761306	60749	0.0040058378752254	0.0921419156990684
2037	24856436	60749	-0.0557868932035394	0.0508567532093995
2037	72165232	60749	0.019792551798758	0.0923919062589627
2037	52913813	25227436	-0.0387658122247542	-0.0057500708099063
2037	52913813	5330286	0.0035083410039061	0.0507114515471719
2037	131634760	60749	-0.0354373274759987	0.0226136258388561
2037	86661883	36314	0.108520490463772	0.153866180667771
2037	131634760	36314	-0.0227559079760115	0.0027390318460289
2037	23725625	86661883	-0.0291101097516036	-0.0051260291509309
2037	23725625	118693659	-0.0667516150837805	-0.0189979315865087
2037	23725625	131634760	-0.0522792710821496	-0.0327372118975964
2037	23725625	49846579	-0.0258332406894581	-0.0034870517089884
2037	54761306	10339178	-0.0546628628341943	-0.0246282825106556
2037	131634760	208908	-0.0749342965130133	-0.033205158687116
2037	135151360	36462	0.0441421219735399	0.0717414057331787
2037	86661883	208908	-0.0178361292306015	0.0147507203217352
2037	24856436	104842	-0.0390569237261213	0.0649514436286908
2037	72165232	3385	-0.0471799112117411	-0.0282982476585099
2037	72165232	24856436	-0.0044770523087688	0.041226757316079
2037	51001932	24866313	-0.0095658255984127	0.0666398017918349
2037	208908	10127622	-0.0166957617267503	0.0516531082360062
2037	11626560	10127622	0.0503388686095796	0.11770485853437
2037	86661883	60749	0.069218862572225	0.11652015062817
2037	72165232	104842	-0.0751548536825702	0.0069755942719803
2037	11626560	3062316	0.0463776074538059	0.103005666262875
2037	49846579	208908	-0.0238522099683096	0.0036105567880934
