MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
25	54761306	23725625	-0.06425769	-0.056509465
25	24856436	23725625	0.046130528	0.067814811
25	24856436	54761306	0.057840918	0.107992643
25	16007391	23725625	0.042671013	0.053968809
25	16007391	54761306	-0.058052638	-0.027618365
25	16007391	24856436	0.023250652	0.03239899
25	118502708	24856436	-0.019317446	-0.009888343
25	135151360	23725625	-0.015189515	-0.010090184
25	118502708	54761306	0.079767321	0.086889187
25	118502708	16007391	-0.009811717	-0.004022136
25	135151360	24856436	0.023878322	0.056501843
25	135151360	118502708	0.022851104	0.032742587
25	135151360	54761306	0.074621798	0.096837533
25	135151360	16007391	0.079635731	0.101120457
25	46700756	23725625	-0.136924334	-0.119214639
25	46700756	54761306	0.027499388	0.071307233
25	46700756	24856436	0.119390069	0.176371575
25	46700756	118502708	0.013405057	0.028465773
25	46700756	135151360	-0.03573552	-0.012387256
25	46700756	104842	0.086707767	0.125495286
25	104842	23725625	0.115462631	0.124236897
25	31703	135151360	0.151313353	0.168920154
25	90132565	23725625	-0.022707782	-0.01831761
25	104842	118502708	0.098795746	0.105680834
25	3082962	23725625	-0.029999931	-0.024805638
25	131634760	24856436	0.056596561	0.100934183
25	131634760	118502708	-0.021703635	-0.012406874
25	131634760	54761306	0.034837778	0.082601048
25	131634760	16007391	0.124921038	0.155414119
25	131634760	135151360	-0.029773381	-0.002294533
25	131634760	25227436	0.056319278	0.072892512
25	131634760	52913813	0.031557455	0.05953186
25	131634760	10127622	0.102312501	0.126406659
25	131634760	49846579	0.056987237	0.07488693
25	86661883	54761306	0.013497789	0.03689813
25	86661883	24856436	-0.028507867	-0.016945578
25	86661883	118502708	-0.027415343	-0.019129228
25	86661883	25227436	-0.039010538	-0.031313642
25	86661883	16007391	0.172409777	0.179076832
25	86661883	135151360	0.005778716	0.0129575
25	86661883	10127622	0.113340085	0.136095047
25	86661883	52913813	0.073483405	0.092240991
25	49846579	54761306	0.022826549	0.045476831
25	49846579	24856436	0.089061841	0.100694808
25	49846579	16007391	0.045030327	0.05956453
25	49846579	118502708	-0.023229805	-0.007622941
25	49846579	135151360	0.006586635	0.016290111
25	49846579	25227436	-0.031313857	-0.020336395
25	49846579	52913813	-0.019703316	-0.011979467
25	11707110	51001932	0.106412664	0.157015522
25	49846579	24771867	-0.032315595	-0.022529814
25	49846579	10127622	0.055376022	0.062394533
25	46700756	104842	0.120961746	0.161301176
25	25227436	16007391	-0.0152273080864553	0.0278981417717949
25	25227436	54761306	-0.0698264086356503	-0.008899040171029
25	25227436	126689157	-0.0581172336589272	-0.0270378079766824
25	25227436	118693659	0.0334229241173646	0.0571045622023899
25	25227436	5330286	-0.0323735509835864	0.0182520654197476
25	25227436	10127622	0.0099697718115325	0.0502228505237124
25	5330286	131634760	-0.052435700494884	0.0099216056367479
25	5330286	49846579	4.67295826566579e-05	0.01883077361839
25	208908	11626560	0.0154758532897662	0.0448397098152744
25	3062316	11707110	-0.0344040510718264	0.0143508138619749
25	5330286	10127622	-0.0332527178205336	0.0235011844803253
25	208908	24964624	0.0745513253280996	0.105118375707894
25	118693659	24856436	-0.0342097744820404	0.0188307064286116
25	118693659	131634760	0.003867609005888	0.0497715605474457
25	118693659	54761306	0.0298016631423768	0.0523949381452679
25	118693659	16007391	-0.0595013037750988	-0.0197959955261873
25	118693659	49846579	-0.0478578050042822	-0.0264254501441494
25	118693659	10127622	0.0423260666665321	0.0783419352290399
25	68289010	131634760	-0.0265230353185851	-9.12876241412697e-05
25	68289010	49846579	-0.0459609878861197	-0.0282451099828807
25	10127622	54761306	-0.0088078271343971	0.0429033115464088
25	10127622	16007391	-0.0741285976438496	-0.0116645948966838
25	123631	126689157	-0.0547567064987667	-0.0356279385894322
25	10127622	24856436	-0.0352128634068447	0.0410210063370419
25	10127622	126689157	-0.0216892927916429	0.002037718807538
25	54761306	60749	0.14754635378824	0.19695469880604
25	24856436	60749	0.148508416599044	0.21305250473182
25	72165232	60749	0.177642649105233	0.209870326994322
25	52913813	25227436	-0.018825871733477	0.0017224465582248
25	52913813	5330286	0.0395979773176992	0.0639535590791206
25	131634760	60749	0.0011634288610048	0.0524106647807346
25	86661883	36314	0.0111384094579087	0.0237141908090642
25	131634760	36314	0.0161769920985359	0.0508946539674101
25	23725625	86661883	-0.0305164048604171	-0.0201265830583214
25	23725625	118693659	-0.0332404659836178	-0.0225491397012817
25	23725625	131634760	0.004796764167781	0.0210942237143049
25	23725625	49846579	-0.0275306365311063	-0.0199140942884773
25	54761306	10339178	-0.0216617229003846	-0.0087897095168334
25	131634760	208908	0.0426185423687056	0.0598524023129285
25	135151360	36462	0.169519669984251	0.18203873573531
25	86661883	208908	0.0152229140286508	0.036921884132429
25	24856436	104842	0.109001616429498	0.178796082565099
25	72165232	3385	0.0881417655481598	0.105157740419254
25	72165232	24856436	0.107335889066001	0.145631987543827
25	51001932	24866313	0.107679509038103	0.161216153037434
25	208908	10127622	0.0134218267951356	0.0411036634952599
25	11626560	10127622	-0.0429725848673841	-0.0010997391048543
25	86661883	60749	-0.0057105448208477	0.0098610294924593
25	72165232	104842	0.137542434906023	0.163635162094824
25	11626560	3062316	0.017916775908604	0.0358838167838002
25	49846579	208908	-0.0371305952571985	-0.0268354662748784
