MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
9	54761306	23725625	0.082922579	0.094228152
9	24856436	23725625	0.02513765	0.0434258
9	24856436	54761306	0.060560591	0.09230188
9	16007391	23725625	0.033225174	0.044665792
9	16007391	54761306	0.027636028	0.036331599
9	16007391	24856436	-0.017136858	-0.008194422
9	118502708	24856436	-0.0069795	0.002156705
9	135151360	23725625	-0.029730706	-0.023956783
9	118502708	54761306	0.010094682	0.020403163
9	118502708	16007391	-0.00791305	-0.001965257
9	135151360	24856436	0.027889473	0.044587906
9	135151360	118502708	0.013988208	0.022420761
9	135151360	54761306	0.022291862	0.037970771
9	135151360	16007391	0.000997645	0.012495609
9	46700756	23725625	-0.001492698	0.01724322
9	46700756	54761306	0.056271173	0.081873695
9	46700756	24856436	0.14008592	0.167551026
9	46700756	118502708	-0.017407717	-0.006985836
9	46700756	135151360	-0.019771995	-0.010152812
9	46700756	104842	-0.00785606	0.038512965
9	104842	23725625	0.049299754	0.056896926
9	31703	135151360	0.068819098	0.078132773
9	90132565	23725625	-0.030781498	-0.024138753
9	104842	118502708	0.060029139	0.068313267
9	3082962	23725625	-0.027347406	-0.021616302
9	131634760	24856436	-0.007658603	0.015737098
9	131634760	118502708	-0.008385622	0.002206405
9	131634760	54761306	0.015869081	0.02694663
9	131634760	16007391	0.0295529	0.045097282
9	131634760	135151360	0.005282528	0.015178832
9	131634760	25227436	-0.023096347	-0.013217193
9	131634760	52913813	0.009824758	0.02461226
9	131634760	10127622	0.033175569	0.045572164
9	131634760	49846579	-0.006241525	0.005468787
9	86661883	54761306	0.036828272	0.053747044
9	86661883	24856436	-0.006386583	0.005678986
9	86661883	118502708	-0.021852173	-0.01062459
9	86661883	25227436	-0.022801057	-0.012461562
9	86661883	16007391	0.032528228	0.039965994
9	86661883	135151360	-0.023416058	-0.015485861
9	86661883	10127622	-0.005770555	0.016551924
9	86661883	52913813	0.032718345	0.053256809
9	49846579	54761306	-0.029595109	-0.010215545
9	49846579	24856436	-0.022510913	-0.008757621
9	49846579	16007391	-0.023405749	-0.010663254
9	49846579	118502708	0.004487328	0.012316814
9	49846579	135151360	-0.032470383	-0.023366011
9	49846579	25227436	0.000851511	0.010287557
9	49846579	52913813	-0.016439815	-0.006708338
9	11707110	51001932	0.136797276	0.152326238
9	49846579	24771867	0.018427291	0.034353609
9	49846579	10127622	-0.044471467	-0.034351264
9	46700756	104842	0.01133901	0.063839299
9	25227436	16007391	-0.0254697335094233	0.0017943281461264
9	25227436	54761306	0.0085430759580414	0.0551438953270863
9	25227436	126689157	-0.021134685247243	0.001253413198222
9	25227436	118693659	-0.0158309294754419	0.0200422330880874
9	25227436	5330286	0.050425074562266	0.0876612783661325
9	25227436	10127622	0.0945622926482006	0.13171608577688
9	5330286	131634760	-0.0211891306639152	-0.0017437614880568
9	5330286	49846579	-0.021919803831167	-0.0077363690861765
9	208908	11626560	-0.0738820983930528	-0.047222820458893
9	3062316	11707110	0.111523050122086	0.164461061036005
9	5330286	10127622	-0.000138606378813147	0.0248571819165683
9	208908	24964624	-0.0065215017795046	0.0104715538924201
9	118693659	24856436	-0.0413212057394948	0.000120983074300055
9	118693659	131634760	0.003092980493142	0.0226664696846248
9	118693659	54761306	0.0646957774701203	0.0907029903713312
9	118693659	16007391	0.0345875594196992	0.0571690313287759
9	118693659	49846579	-0.0429947797347446	-0.0218106635562987
9	118693659	10127622	0.112657461294406	0.146306728253753
9	68289010	131634760	-0.0160573590975723	-6.32859951233109e-05
9	68289010	49846579	-0.0573662509016725	-0.0355423246155542
9	10127622	54761306	0.0057402120625297	0.0240260805305193
9	10127622	16007391	-0.0480031339984641	-0.0147992640335698
9	123631	126689157	-0.0583155323145369	-0.0420005272184271
9	10127622	24856436	-0.0186540520672318	0.0133233365481813
9	10127622	126689157	-0.020471104631256	-0.000608670068702388
9	54761306	60749	0.112940458049762	0.1440284301275
9	24856436	60749	0.0758115541180319	0.117333830908494
9	72165232	60749	0.0628675878635456	0.0929555727436117
9	52913813	25227436	0.0454182785891009	0.0685596574796406
9	52913813	5330286	0.13094937036258	0.156806828430485
9	131634760	60749	-0.0402263555718266	-0.0210419896908523
9	86661883	36314	0.192235326263693	0.21506818566915
9	131634760	36314	-0.0693394499478244	-0.0627608960556532
9	23725625	86661883	0.0086399882374491	0.0157044691993532
9	23725625	118693659	-0.0013559818215675	0.0122153748382163
9	23725625	131634760	-0.0182490755856536	-0.0125789484230062
9	23725625	49846579	-0.0528257642719078	-0.0438080969096529
9	54761306	10339178	-0.0213375631770908	-0.0082091889320269
9	131634760	208908	-0.000991776908090572	0.0060654528990077
9	135151360	36462	0.105060534967065	0.121063221380964
9	86661883	208908	0.0099392520888684	0.019282633029658
9	24856436	104842	-0.0431387160368862	0.005839118469242
9	72165232	3385	-0.000745471109371506	0.0063315574086851
9	72165232	24856436	0.0748601209781866	0.0892371310561235
9	51001932	24866313	0.0678644891493407	0.0954556060808415
9	208908	10127622	0.0547074056433872	0.0668952718118136
9	11626560	10127622	-0.013561848333495	0.0045528307530563
9	86661883	60749	-0.0229325817272756	-0.0027902027120943
9	72165232	104842	-0.0016946809782747	0.0109073878096877
9	11626560	3062316	0.0576673882261197	0.0810938235163875
9	49846579	208908	-0.0207122914590938	-0.0143696127311772
