data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
94	3385	11960529	46.04	3.087	-2.04236549
94	3385	24856436	46.04	23.979	13.43800738
94	3385	11977753	46.04	57.44	4.9564748
94	3385	387447	46.04	55.933	-0.606903963
94	3385	3062316	46.04	30.017	12.04983999
94	3385	46926350	46.04	52.93	-2.190511013
94	3385	176870	46.04	14.983	14.10088605
94	3385	5288382	46.04	60.283	1.627285097
94	3385	216453	46.04	63.079	8.230283103
94	3385	208908	46.04	7.537	10.37869292
94	3385	24964624	46.04	33.135	10.17885365
94	3385	24958200	46.04	46.21	9.403775344
94	3385	24748204	46.04	31.982	8.161123366
94	3385	11520894	46.04	37.871	11.62290413
94	3385	16224745	46.04	10.043	7.630257745
94	3385	9826528	46.04	25.812	12.33637067
94	3385	216239	46.04	70.221	3.104914692
94	3385	5329102	46.04	45.959	9.924271927
94	3385	5394	46.04	2.338	-13.35227523
94	3385	5311	46.04	22.472	2.896671122
94	11960529	11977753	3.087	57.44	1.489011038
94	11960529	46926350	3.087	52.93	5.22232393
94	11960529	5288382	3.087	60.283	-6.158722521
94	11960529	11520894	3.087	37.871	-24.69132539
94	11960529	16224745	3.087	10.043	15.3261818
94	11960529	71301229	3.087	47.763	8.723610677
94	11960529	104842	3.087	32.622	3.571531914
94	11960529	216239	3.087	70.221	-3.828802075
94	11960529	60700	3.087	79.618	-2.087420116
94	24856436	11960529	23.979	3.087	-12.80122416
94	24856436	11977753	23.979	57.44	12.04257309
94	24856436	387447	23.979	55.933	-2.289326832
94	24856436	3062316	23.979	30.017	2.183105625
94	24856436	46926350	23.979	52.93	-0.031971415
94	24856436	176870	23.979	14.983	7.487863796
94	24856436	5288382	23.979	60.283	1.718305749
94	24856436	208908	23.979	7.537	0.131213024
94	24856436	24964624	23.979	33.135	11.99008303
94	24856436	24958200	23.979	46.21	10.74043702
94	24856436	24748204	23.979	31.982	7.438807164
94	24856436	11520894	23.979	37.871	18.90057347
94	24856436	16224745	23.979	10.043	26.17703351
94	24856436	71301229	23.979	47.763	8.94801589
94	24856436	9826528	23.979	25.812	18.97891817
94	24856436	104842	23.979	32.622	6.859270101
94	24856436	216239	23.979	70.221	1.076359042
94	24856436	60700	23.979	79.618	5.631721226
94	11977753	46926350	57.44	52.93	3.95063497
94	11977753	16224745	57.44	10.043	1.073481058
94	11977753	71301229	57.44	47.763	10.4395378
94	11977753	104842	57.44	32.622	8.267199805
94	11977753	216239	57.44	70.221	4.312350814
94	387447	11960529	55.934	3.087	-14.83793359
94	387447	11977753	55.934	57.44	5.614067183
94	387447	3062316	55.934	30.017	-5.798268101
94	387447	46926350	55.934	52.93	-5.803396132
94	387447	5288382	55.934	60.283	-0.161150623
94	387447	11520894	55.934	37.871	-5.464518358
94	387447	16224745	55.934	10.043	5.342953394
94	387447	71301229	55.934	47.763	6.845928503
94	387447	104842	55.934	32.622	-1.323901642
94	387447	216239	55.934	70.221	0.602476365
94	387447	60700	55.934	79.618	5.505017189
94	426756	11960529	23.21	3.087	16.33907091
94	426756	24856436	23.21	23.979	12.77661619
94	426756	11977753	23.21	57.44	12.01736005
94	426756	387447	23.21	55.933	2.966246976
94	426756	3062316	23.21	30.017	23.75071738
94	426756	46926350	23.21	52.93	3.409496023
