data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
91	3385	11960529	12.558	0.488	-3.425711907
91	3385	24856436	12.558	48.512	-0.7966002
91	3385	11977753	12.558	36.336	-12.61776438
91	3385	387447	12.558	55.813	-18.68658554
91	3385	3062316	12.558	52.18	5.642546632
91	3385	46926350	12.558	35.452	-13.07796501
91	3385	176870	12.558	27.261	-2.411055205
91	3385	5288382	12.558	39.35	-13.42154369
91	3385	216453	12.558	26.873	-4.863122906
91	3385	208908	12.558	13.695	2.467029135
91	3385	24964624	12.558	10.645	7.831246412
91	3385	24958200	12.558	34.215	-10.65428527
91	3385	24748204	12.558	16.515	-8.409813568
91	3385	11520894	12.558	19.819	4.386173382
91	3385	16224745	12.559	39.996	19.74034574
91	3385	9826528	12.558	19.746	3.429065875
91	3385	216239	12.558	19.692	-5.462688435
91	3385	5329102	12.558	37.156	0.165686237
91	3385	5394	12.558	-8.683	-25.71905028
91	3385	5311	12.558	15.948	-1.127383907
91	11960529	11977753	0.488	36.336	-34.22396527
91	11960529	46926350	0.488	35.452	3.00294228
91	11960529	5288382	0.488	39.35	4.702131697
91	11960529	11520894	0.488	19.819	-14.44465395
91	11960529	16224745	0.488	39.996	-5.106051236
91	11960529	71301229	0.488	22.233	-4.728428855
91	11960529	104842	0.488	19.706	-2.51817186
91	11960529	216239	0.488	19.692	-0.970542107
91	11960529	60700	0.488	80.648	-17.31321314
91	24856436	11960529	48.512	0.488	-34.04388126
91	24856436	11977753	48.512	36.336	5.647295918
91	24856436	387447	48.512	55.813	-4.028861557
91	24856436	3062316	48.512	52.18	8.263411428
91	24856436	46926350	48.512	35.452	-3.94366751
91	24856436	176870	48.512	27.261	12.43908034
91	24856436	5288382	48.512	39.35	3.053162496
91	24856436	208908	48.512	13.695	16.70841644
91	24856436	24964624	48.512	10.645	-13.08718174
91	24856436	24958200	48.512	34.215	0.921554104
91	24856436	24748204	48.512	16.515	1.397377313
91	24856436	11520894	48.512	19.819	10.83010757
91	24856436	16224745	48.512	39.996	-6.590165227
91	24856436	71301229	48.512	22.233	3.608462904
91	24856436	9826528	48.512	19.746	9.508807268
91	24856436	104842	48.512	19.706	5.619359104
91	24856436	216239	48.512	19.692	-1.670580053
91	24856436	60700	48.512	80.648	5.364978711
91	11977753	46926350	36.336	35.452	-0.020972821
91	11977753	16224745	36.336	39.996	-3.900534095
91	11977753	71301229	36.336	22.233	1.621169068
91	11977753	104842	36.336	19.706	3.782750925
91	11977753	216239	36.336	19.692	1.484025723
91	387447	11960529	55.824	0.488	-12.93711909
91	387447	11977753	55.824	36.336	2.035567123
91	387447	3062316	55.824	52.18	1.263872953
91	387447	46926350	55.824	35.452	-2.906473724
91	387447	5288382	55.824	39.35	-0.643011464
91	387447	11520894	55.824	19.819	1.906559511
91	387447	16224745	55.824	39.996	-11.56730934
91	387447	71301229	55.824	22.233	-3.852829044
91	387447	104842	55.824	19.706	-0.005991163
91	387447	216239	55.824	19.692	-7.781343861
91	387447	60700	55.824	80.648	0.632315444
91	426756	11960529	22.854	0.488	-4.881898969
91	426756	24856436	22.854	48.512	5.714807653
91	426756	11977753	22.854	36.336	3.342633304
91	426756	387447	22.854	55.813	-4.859800941
91	426756	3062316	22.854	52.18	9.140258759
91	426756	46926350	22.854	35.452	-3.860428913
91	426756	176870	22.854	27.261	1.72546034
91	426756	5288382	22.854	39.35	-0.539575866
91	426756	216453	22.854	26.873	-5.211601996
91	426756	208908	22.854	13.695	0.64155097
91	426756	24964624	22.854	10.645	6.21767216
91	426756	24958200	22.854	34.215	-1.061221532
91	426756	24748204	22.854	16.515	-2.044213861
91	426756	11520894	22.854	19.819	4.359852185
91	426756	16224745	22.854	39.996	12.12761578
91	426756	9826528	22.854	19.746	1.36403816
91	426756	216239	22.854	19.692	-18.74825665
91	426756	5329102	22.854	37.156	7.66416594
91	426756	5394	22.854	-8.683	-49.03409814
91	426756	5311	22.854	15.948	1.815111548
91	2907	11960529	-4.31	0.488	2.402694092
91	2907	24856436	-4.31	48.512	-34.01368078
91	2907	11977753	-4.31	36.336	-39.52430902
91	2907	387447	-4.31	55.813	-51.81690583
91	2907	3062316	-4.31	52.18	-8.308975825
91	2907	46926350	-4.31	35.452	-43.80773786
91	2907	176870	-4.31	27.261	-16.64299784
91	2907	5288382	-4.31	39.35	-44.07295459
91	2907	216453	-4.31	26.873	-8.759472867
91	2907	208908	-4.31	13.695	-12.8196943
91	2907	24964624	-4.31	10.645	0.035263758
91	2907	24958200	-4.31	34.215	-24.93902959
91	2907	24748204	-4.31	16.515	-34.87747181
91	2907	11520894	-4.31	19.819	-15.6443102
91	2907	16224745	-4.31	39.996	-7.209551236
91	2907	9826528	-4.31	19.746	-4.035443153
91	2907	216239	-4.31	19.692	-9.424879398
91	2907	5329102	-4.31	37.156	-14.98033063
91	2907	5394	-4.31	-8.683	-3.481880853
91	2907	5311	-4.31	15.948	-15.62887654
91	3062316	11960529	52.179	0.488	-6.089141627
91	3062316	11977753	52.179	36.336	11.2239592
91	3062316	46926350	52.179	35.452	4.113003804
91	3062316	5288382	52.179	39.35	-5.399137597
91	3062316	11520894	52.179	19.819	7.051982229
91	3062316	16224745	52.179	39.996	6.706257449
91	3062316	71301229	52.179	22.233	4.881025216
91	3062316	104842	52.179	19.706	7.295959268
91	3062316	216239	52.179	19.692	7.65648233
91	3062316	60700	52.179	80.648	2.671289471
91	5743	11960529	28.188	0.488	-1.252794383
91	5743	24856436	28.188	48.512	-11.46618125
91	5743	11977753	28.188	36.336	0.944513262
91	5743	387447	28.188	55.813	-2.479085054
91	5743	3062316	28.188	52.18	11.08539918
91	5743	46926350	28.188	35.452	-0.570011649
91	5743	176870	28.188	27.261	7.418770081
91	5743	5288382	28.188	39.35	-2.707715136
91	5743	216453	28.188	26.873	14.09123762
91	5743	208908	28.188	13.695	14.63526743
91	5743	24964624	28.188	10.645	16.732912
91	5743	24958200	28.188	34.215	-4.854891257
91	5743	24748204	28.188	16.515	5.540625534
91	5743	11520894	28.188	19.819	11.29281642
91	5743	16224745	28.188	39.996	13.96932682
91	5743	9826528	28.188	19.746	16.82458852
91	5743	216239	28.188	19.692	15.6414782
91	5743	5329102	28.188	37.156	4.05227915
91	5743	5394	28.188	-8.683	-12.81688655
91	5743	5311	28.188	15.948	5.989492839
91	46926350	16224745	35.451	39.996	-10.61211658
91	31703	11960529	70.549	0.488	-23.75286062
91	31703	24856436	70.549	48.512	4.042728534
91	31703	11977753	70.549	36.336	0.582257195
91	31703	387447	70.549	55.813	-4.533089502
91	31703	3062316	70.549	52.18	1.204592933
