data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
87	3385	11960529	17.18	-1.624	-13.00668918
87	3385	24856436	17.18	17.9	4.697207575
87	3385	11977753	17.18	35.351	-2.297550379
87	3385	387447	17.18	24.543	3.175946657
87	3385	3062316	17.18	0.699	3.647251855
87	3385	46926350	17.18	37.312	-6.512862903
87	3385	176870	17.18	7.478	7.09470039
87	3385	5288382	17.18	5.605	-0.019772814
87	3385	216453	17.18	17.736	5.732811952
87	3385	208908	17.18	2.036	-2.916492833
87	3385	24964624	17.18	4.289	-2.084661612
87	3385	24958200	17.18	17.019	-3.450094787
87	3385	24748204	17.18	5.171	3.156709381
87	3385	11520894	17.18	13.765	5.157444318
87	3385	16224745	17.18	48.756	-2.597137451
87	3385	9826528	17.18	29.655	0.34705765
87	3385	216239	17.18	35.08	1.532535827
87	3385	5329102	17.18	13.325	8.886461176
87	3385	5394	17.18	40.774	-1.484771194
87	3385	5311	17.18	26.219	-0.265997341
87	11960529	11977753	-1.625	35.351	-42.54180437
87	11960529	46926350	-1.625	37.312	-49.80258784
87	11960529	5288382	-1.625	5.605	-42.17957926
87	11960529	11520894	-1.625	13.765	-11.78703291
87	11960529	16224745	-1.625	48.756	-39.19465385
87	11960529	71301229	-1.625	15.133	-26.57781451
87	11960529	104842	-1.625	12.134	-80.47556219
87	11960529	216239	-1.625	35.08	-8.200788614
87	11960529	60700	-1.625	71.604	-36.06438035
87	24856436	11960529	17.901	-1.624	-44.54632865
87	24856436	11977753	17.901	35.351	4.823070627
87	24856436	387447	17.901	24.543	0.997065985
87	24856436	3062316	17.901	0.699	-5.863658476
87	24856436	46926350	17.901	37.312	-5.23573216
87	24856436	176870	17.901	7.478	0.54513563
87	24856436	5288382	17.901	5.605	1.689429844
87	24856436	208908	17.901	2.036	-14.72704739
87	24856436	24964624	17.901	4.289	-6.965450462
87	24856436	24958200	17.901	17.019	-3.410895883
87	24856436	24748204	17.901	5.171	-12.00524582
87	24856436	11520894	17.901	13.765	11.34853158
87	24856436	16224745	17.901	48.756	15.07038888
87	24856436	71301229	17.901	15.133	-10.85858012
87	24856436	9826528	17.901	29.655	6.085094702
87	24856436	104842	17.901	12.134	-0.258717812
87	24856436	216239	17.901	35.08	-1.012942881
87	24856436	60700	17.901	71.604	-3.47509611
87	11977753	46926350	35.351	37.312	2.041988462
87	11977753	16224745	35.351	48.756	7.297067899
87	11977753	71301229	35.351	15.133	-3.429182019
87	11977753	104842	35.351	12.134	1.084218483
87	11977753	216239	35.351	35.08	4.684886259
87	387447	11960529	24.662	-1.624	-68.42612469
87	387447	11977753	24.662	35.351	8.437602195
87	387447	3062316	24.662	0.699	-17.2289539
87	387447	46926350	24.662	37.312	-0.537833557
87	387447	5288382	24.662	5.605	5.122017028
87	387447	11520894	24.662	13.765	4.619667338
87	387447	16224745	24.662	48.756	-1.27882941
87	387447	71301229	24.662	15.133	-3.634997367
87	387447	104842	24.662	12.134	0.277485958
87	387447	216239	24.662	35.08	1.585868815
87	387447	60700	24.662	71.604	1.491676233
87	426756	11960529	1.026	-1.624	-2.478695948
87	426756	24856436	1.026	17.9	3.037276319
87	426756	11977753	1.026	35.351	4.21691367
87	426756	387447	1.026	24.543	7.22694383
87	426756	3062316	1.026	0.699	0.312924907
87	426756	46926350	1.026	37.312	-4.798261268
87	426756	176870	1.026	7.478	-7.204225702
87	426756	5288382	1.026	5.605	2.718687736
87	426756	216453	1.026	17.736	-0.592093368
87	426756	208908	1.026	2.036	-6.271243326
87	426756	24964624	1.026	4.289	-2.499377795
87	426756	24958200	1.026	17.019	-4.027208586
87	426756	24748204	1.026	5.171	1.134790469
87	426756	11520894	1.026	13.765	6.64391456
87	426756	16224745	1.026	48.756	0.586686335
87	426756	9826528	1.026	29.655	1.411971146
87	426756	216239	1.026	35.08	-8.113773376
87	426756	5329102	1.026	13.325	3.971058662
87	426756	5394	1.026	40.774	-3.617955582
87	426756	5311	1.026	26.219	-0.952431817
87	2907	11960529	-1.52	-1.624	-3.308690394
87	2907	24856436	-1.52	17.9	-41.51290735
87	2907	11977753	-1.52	35.351	-42.79028874
87	2907	387447	-1.52	24.543	-66.63860907
87	2907	3062316	-1.52	0.699	-6.727389766
87	2907	46926350	-1.52	37.312	-57.48428242
87	2907	176870	-1.52	7.478	-16.78267694
87	2907	5288382	-1.52	5.605	-50.76362614
87	2907	216453	-1.52	17.736	-19.85261759
87	2907	208908	-1.52	2.036	-9.050488105
87	2907	24964624	-1.52	4.289	-4.00336687
87	2907	24958200	-1.52	17.019	-26.04419673
87	2907	24748204	-1.52	5.171	-7.201791313
87	2907	11520894	-1.52	13.765	-8.789314158
87	2907	16224745	-1.52	48.756	-15.31502588
87	2907	9826528	-1.52	29.655	-34.48022003
87	2907	216239	-1.52	35.08	-9.758897989
87	2907	5329102	-1.52	13.325	-20.02040082
87	2907	5394	-1.52	40.774	-4.216626637
87	2907	5311	-1.52	26.219	-36.80439649
87	3062316	11960529	0.7	-1.624	-4.751543264
87	3062316	11977753	0.7	35.351	-10.02933998
87	3062316	46926350	0.7	37.312	-14.74547783
87	3062316	5288382	0.7	5.605	-12.41267614
87	3062316	11520894	0.7	13.765	6.031759108
87	3062316	16224745	0.7	48.756	-8.709110373
87	3062316	71301229	0.7	15.133	-17.56693418
87	3062316	104842	0.7	12.134	-16.73550469
87	3062316	216239	0.7	35.08	4.617218049
87	3062316	60700	0.7	71.604	-15.20921322
87	5743	11960529	-12.136	-1.624	-8.181395559
87	5743	24856436	-12.136	17.9	-51.90311217
87	5743	11977753	-12.136	35.351	-47.75331999
87	5743	387447	-12.136	24.543	-69.93089032
87	5743	3062316	-12.136	0.699	-25.36450107
87	5743	46926350	-12.136	37.312	-59.87971972
87	5743	176870	-12.136	7.478	-24.91073579
87	5743	5288382	-12.136	5.605	-49.35479801
87	5743	216453	-12.136	17.736	-28.89300821
87	5743	208908	-12.136	2.036	-19.99755797
87	5743	24964624	-12.136	4.289	-13.64996062
87	5743	24958200	-12.136	17.019	-34.49060298
87	5743	24748204	-12.136	5.171	-17.35858819
87	5743	11520894	-12.136	13.765	-22.60086103
87	5743	16224745	-12.136	48.756	-38.28246811
87	5743	9826528	-12.136	29.655	-34.3712669
87	5743	216239	-12.136	35.08	-9.896116739
87	5743	5329102	-12.136	13.325	-19.66110394
87	5743	5394	-12.136	40.774	-15.50804851
87	5743	5311	-12.136	26.219	-42.57819337
87	46926350	16224745	37.312	48.756	-4.618322061
87	31703	11960529	50.819	-1.624	-38.29628117
87	31703	24856436	50.819	17.9	-2.586968606
87	31703	11977753	50.819	35.351	-0.237041449
87	31703	387447	50.819	24.543	-1.965307312
87	31703	3062316	50.819	0.699	-19.3901845
87	31703	46926350	50.819	37.312	-2.885895169
87	31703	176870	50.819	7.478	-7.406112427
87	31703	5288382	50.819	5.605	-2.282641734
87	31703	216453	50.819	17.736	-12.57557125
87	31703	208908	50.819	2.036	-23.35105365
87	31703	24964624	50.819	4.289	-15.52163813
87	31703	24958200	50.819	17.019	-8.37005271
87	31703	24748204	50.819	5.171	-22.99567487
87	31703	11520894	50.819	13.765	-2.71541192
87	31703	16224745	50.819	48.756	2.861646666
87	31703	9826528	50.819	29.655	0.367924074
87	31703	216239	50.819	35.08	-5.468644513
87	31703	5329102	50.819	13.325	-12.09998856
87	31703	5394	50.819	40.774	-6.396297093
87	31703	5311	50.819	26.219	2.868680306
87	176870	11960529	7.55	-1.624	-21.39798012
87	176870	11977753	7.55	35.351	0.693658168
87	176870	387447	7.55	24.543	1.947709524
87	176870	3062316	7.55	0.699	0.855008989
87	176870	46926350	7.55	37.312	-16.41695809
87	176870	5288382	7.55	5.605	0.889383426
87	176870	11520894	7.55	13.765	9.906737641
87	176870	16224745	7.55	48.756	0.384761217
87	176870	71301229	7.55	15.133	-6.276231171
87	176870	9826528	7.55	29.655	5.154132683
87	176870	104842	7.55	12.134	-0.428721052
87	176870	216239	7.55	35.08	4.027400759
87	176870	60700	7.55	71.604	2.686113304
87	36462	11960529	21.617	-1.624	-42.6608455
87	36462	24856436	21.617	17.9	2.910719968
87	36462	11977753	21.617	35.351	-2.690187921
87	36462	387447	21.617	24.543	-0.128403972
87	36462	3062316	21.617	0.699	-12.85810818
87	36462	46926350	21.617	37.312	-2.841403925
87	36462	176870	21.617	7.478	3.960487707
87	36462	5288382	21.617	5.605	0.604015426
87	36462	208908	21.617	2.036	-15.38699446
87	36462	24964624	21.617	4.289	0.733530635
87	36462	24958200	21.617	17.019	-0.415971901
87	36462	24748204	21.617	5.171	-1.97256307
87	36462	11520894	21.617	13.765	2.446542515
87	36462	16224745	21.617	48.756	0.737186919
87	36462	9826528	21.617	29.655	2.474069016
87	36462	216239	21.617	35.08	-2.33771979
87	36462	5329102	21.617	13.325	-9.298545055
87	36462	5394	21.617	40.774	-4.50213383
87	36462	5311	21.617	26.219	3.998597633
87	5288382	11977753	5.63	35.351	3.619351677
87	5288382	46926350	5.63	37.312	-2.802645615
87	5288382	16224745	5.63	48.756	-2.615924646
87	5288382	71301229	5.63	15.133	-12.53971696
87	5288382	104842	5.63	12.134	-1.313641412
87	5288382	216239	5.63	35.08	-0.473842872
87	5288382	60700	5.63	71.604	-0.240768051
87	60750	11960529	85.071	-1.624	-13.8695641
87	60750	24856436	71.7555	17.9	0.424530215
87	60750	11977753	85.071	35.351	2.184090281
87	60750	387447	85.071	24.543	-2.4872039
87	60750	3062316	85.071	0.699	-1.137485978
87	60750	46926350	85.071	37.312	-2.752568955
87	60750	176870	85.071	7.478	-6.510095353
87	60750	5288382	85.071	5.605	-3.269019718
87	60750	208908	85.071	2.036	-15.10782973
87	60750	24964624	85.071	4.289	-5.109579728
87	60750	24958200	85.071	17.019	-3.261710888
87	60750	24748204	85.071	5.171	-4.733907853
87	60750	11520894	85.071	13.765	-2.448541869
87	60750	16224745	71.7555	48.756	2.237871876
87	60750	9826528	85.071	29.655	-1.566313045
87	60750	216239	85.071	35.08	-4.019571215
87	60750	5329102	85.071	13.325	-7.461501603
87	60750	5394	85.071	40.774	-7.632704728
87	216453	11960529	17.736	-1.624	-24.09062328
87	216453	24856436	16.4005	17.9	3.568051774
87	216453	11977753	17.736	35.351	0.454806409
87	216453	387447	17.736	24.543	2.649560159
87	216453	3062316	17.736	0.699	5.122482479
87	216453	46926350	17.736	37.312	-8.360871588
87	216453	176870	17.736	7.478	3.484990508
87	216453	36462	17.736	21.609	-7.097212656
87	216453	5288382	17.736	5.605	7.957233685
87	216453	60750	17.736	85.099	-3.161781244
87	216453	208908	17.736	2.036	-3.219964056
87	216453	24964624	17.736	4.289	-2.333781425
87	216453	24958200	17.736	17.019	1.70940253
87	216453	24748204	17.736	5.171	1.655805988
87	216453	11520894	16.4005	13.765	10.19353425
87	216453	16224745	17.736	48.756	4.641844408
87	216453	71301229	17.736	15.133	-10.93791349
87	216453	9826528	17.736	29.655	10.07710757
87	216453	104842	17.736	12.134	-7.210511585
87	216453	216239	17.736	35.08	1.020695703
87	216453	5329102	17.736	13.325	6.239874938
87	216453	5394	17.736	40.774	-0.727770628
87	216453	60700	17.736	71.604	1.591898146
87	216453	5311497	17.736	14.241	-0.039034848
87	216453	5311	17.736	26.219	3.860166515
87	208908	11960529	2.045	-1.624	-12.89629029
87	208908	11977753	2.045	35.351	-24.10369092
87	208908	387447	2.045	24.543	-14.96164774
87	208908	3062316	2.045	0.699	-5.174319312
87	208908	46926350	2.045	37.312	-14.79832684
87	208908	176870	2.045	7.478	-5.725254553
87	208908	5288382	2.045	5.605	-7.607875408
87	208908	24964624	2.045	4.289	5.432641263
87	208908	24958200	2.045	17.019	-5.436935323
87	208908	24748204	2.045	5.171	4.079642912
87	208908	11520894	2.045	13.765	1.046114104
87	208908	16224745	2.045	48.756	-16.47442397
87	208908	71301229	2.045	15.133	-14.89780133
87	208908	9826528	2.045	29.655	-16.68871391
87	208908	104842	2.045	12.134	-9.17745385
87	208908	216239	2.045	35.08	3.965489418
87	208908	60700	2.045	71.604	-14.33390824
87	4091	11960529	1.618	-1.624	-7.784409252
87	4091	24856436	1.618	17.9	-20.39191916
87	4091	11977753	1.618	35.351	-28.91240045
87	4091	387447	1.618	24.543	-26.93437407
87	4091	3062316	1.618	0.699	-8.997416272
87	4091	46926350	1.618	37.312	-23.24374877
87	4091	176870	1.618	7.478	-22.21049205
87	4091	5288382	1.618	5.605	-37.07903381
87	4091	216453	1.618	17.736	-8.928279499
87	4091	208908	1.618	2.036	-8.310103169
87	4091	24964624	1.618	4.289	-0.657091006
87	4091	24958200	1.618	17.019	-23.09331035
87	4091	24748204	1.618	5.171	-3.951289033
87	4091	11520894	1.618	13.765	-0.410107475
87	4091	16224745	1.618	48.756	-25.20639554
