data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
30	248862	32874	0.11	22.1195	-33.94443381
30	248862	135401907	3.62	0.59	-1.700044637
30	248862	2141	-5.418	0.065	-4.391360182
30	248862	123608	2.117	1.948	-1.056024967
30	248862	2187	8.006	-0.721	0.505813596
30	248862	5284616	-6.068	0.111	-9.207198118
30	248862	9444	-5.568	3.713	-22.3834941
30	248862	5360373	-3.691	14.736	-15.52942753
30	248862	2478	2.979	3.394	0.687269342
30	248862	2578	-5.93	4.541	-8.588735508
30	248862	354624	-4.001	2.17	-7.307491702
30	248862	441203	4.546	40.969	-9.751594325
30	248862	439693	-3.545	0.675	-0.00701126
30	248862	2907	-6.091	-2.4	-9.783867215
30	248862	3062316	-5.758	9.425	-80.91482411
30	248862	148124	-2.624	-0.659	-4.696627976
30	248862	24197464	-0.259	12.6	-28.58754734
30	248862	54611422	-1.038	12.871	-14.75504989
30	248862	176871	0.815	20.315	-1.933676109
30	248862	104741	9.303	-0.152	-0.634294906
30	248862	3690	-5.001	-2.323	-2.668838748
30	248862	57469	-4.217	-0.018	-1.737489589
30	248862	6445540	-1.677	27.544	-14.9408477
30	248862	208908	-13.011	18.632	-32.67337305
30	248862	5935	-2.646	13.229	-13.62180287
30	248862	4114	-5.68	-1.934	-2.197179802
30	248862	4211	10.595	-0.082	-6.311652614
30	248862	23615975	-1.447	-1.395	-1.122816282
30	248862	451668	-4.282	0.244	-5.514859833
30	248862	21864423	4.199	21.361	-30.54885199
30	248862	54608520	-11.952	1.517	-108.5553368
30	248862	36314	-5.071	6.956	-21.13702707
30	248862	4842	1.802	10.158	0.99010826
30	248862	148121	8.289	72.339	-8.954978623
30	248862	9703	-4.111	-2.765	-2.60516959
30	248862	6239	0.606	-0.525	0.809367854
30	248862	5352062	-6.566	31.315	-56.01039355
30	248862	104842	-3.881	7.396	-92.28116065
30	248862	216239	-0.497	-0.305	-4.419048306
30	248862	5329102	-10.071	3.712	-13.22752304
30	248862	5426	-8.885	-2.309	-6.052344037
30	248862	60699	-4.817	15.628	-51.95633749
30	248862	5799	-4.828	18.155	-10.34013472
30	248862	5388983	10.949	2.608	-1.330146894
30	248862	68740	-3.977	0.735	-7.719260702
30	248862	5311	-5.43	4.406	-14.00411196
30	43834572	248862	0.478	-0.209	-7.820633804
30	43834572	32874	12.8155	22.1195	-1.120467905
30	43834572	135401907	4.538	-0.171	-5.937554373
30	43834572	2141	4.986	-0.796	-14.87190493
30	43834572	123608	4.75	4.143	0.67180344
30	43834572	2187	-1.327	-0.721	-1.812044709
30	43834572	5284616	0.34	0.111	-1.542742885
30	43834572	9444	0.297	3.713	1.859617137
30	43834572	77082	4.78	0.487	-33.25044159
30	43834572	5360373	6.967	14.736	0.471074347
30	43834572	387447	9.158	39.284	1.020770464
30	43834572	2478	3.949	2.019	-2.323252353
30	43834572	426756	13.117	17.727	3.921065523
30	43834572	2578	7.877	3.677	-8.219891524
30	43834572	1546	8.015	8.657	4.175216709
30	43834572	354624	1.574	2.17	-1.170542789
30	43834572	441203	7.283	39.065	1.169947675
30	43834572	439693	2.01	0.376	-25.48174513
30	43834572	2907	4.648	-0.396	-6.880771085
30	43834572	6252	7.982	3.894	1.131317236
30	43834572	3062316	9.692	9.425	-3.936135846
30	43834572	148124	2.008	-0.659	-1.172747556
30	43834572	24197464	3.387	7.95	-1.646968505
30	43834572	54611422	3.628	5.23	-2.889785655
30	43834572	176871	3.968	11.587	-2.431238098
30	43834572	104741	-1.806	-0.152	-1.294662405
30	43834572	3657	5.843	0.534	-93.95656963
30	43834572	3690	4.996	0.162	-14.2199312
30	43834572	5291	15.583	3.035	-15.47974035
30	43834572	57469	7.14	1.248	-0.933796844
30	43834572	6445540	2.398	34.449	-9.416607237
30	43834572	208908	-3.903	18.632	-9.768387861
30	43834572	5935	-0.653	13.229	-0.586108969
30	43834572	667490	-2.151	9.368	0.516940702
30	43834572	4114	3.26	-0.009	-65.2547328
30	43834572	5746	5.527	9.773	0.654497333
30	43834572	4211	1.839	-0.082	-5.476945227
30	43834572	644241	0.686	0.504	-1.673166838
30	43834572	23615975	4.736	-0.433	-32.94970014
30	43834572	451668	5.399	-0.656	-4.649760287
30	43834572	21864423	22.086	21.361	-7.219354653
30	43834572	54608520	-2.057	1.517	-5.368709106
30	43834572	36314	0.703	6.956	0.28624225
30	43834572	4842	3.479	8.946	2.644150777
30	43834572	163659	6.849	26.349	-1.637314034
30	43834572	148121	1.338	72.526	-11.98153815
30	43834572	9703	3.735	0.767	-12.39341669
30	43834572	6239	3.303	-0.475	-3.481111215
30	43834572	5352062	3.12	31.315	-26.51633141
30	43834572	104842	2.518	7.396	-18.3882143
30	43834572	216239	5.565	-0.305	-8.083071911
30	43834572	5329102	-2.139	3.712	-0.591519736
30	43834572	2733525	8.442	3.561	5.184904792
30	43834572	5394	15.684	4.609	-18.774515
30	43834572	5426	2.579	-1.347	-17.44791279
30	43834572	60699	7.46	12.173	-1.033844089
30	43834572	444795	12.908	1.473	-20.99223431
30	43834572	5799	8.72	18.155	2.206759972
30	43834572	5388983	-1.18	2.608	-4.314847868
30	43834572	5388992	9.362	11.446	-4.899155556
30	43834572	68740	6.939	0.735	-28.32854373
30	43834572	5311	3.969	4.406	-0.074873598
30	3385	248862	30.542	-3.818	-10.65087763
30	3385	43834572	21.017	19.72	5.746450598
30	3385	2019	21.017	-0.704	9.167854306
30	3385	32874	21.017	34.517	2.193872938
30	3385	135401907	21.017	0.171	-1.578223819
30	3385	2123	21.017	0.631	4.963927251
30	3385	2141	27.443	-3.924	-11.624495
30	3385	123608	21.017	1.642	6.474392578
30	3385	2187	21.017	1.885	9.80742592
30	3385	5284616	21.017	28.221	6.018770235
30	3385	9444	21.017	-0.402	15.76021368
30	3385	77082	21.017	1.508	7.905848764
30	3385	5360373	34.956	18.999	2.266292299
30	3385	387447	21.017	1.095	6.523300749
30	3385	2478	21.017	7.656	5.743349452
30	3385	426756	21.017	25.481	8.811247169
30	3385	2578	21.017	3.711	5.418896855
30	3385	2662	21.017	3.126	7.84028447
30	3385	1546	21.017	-0.997	15.92944295
30	3385	354624	21.017	11.381	4.436747989
30	3385	2708	21.017	19.431	7.466525956
30	3385	441203	21.017	0.755	13.94437886
30	3385	439693	21.017	-1.117	5.607545113
30	3385	11626560	21.017	-0.414	9.92791331
30	3385	2907	21.017	-2.5	-1.930127659
30	3385	6252	21.017	2.865	6.828323153
30	3385	3062316	30.517	29.603	-7.325103561
30	3385	148124	21.017	15.591	0.962452108
30	3385	24197464	21.017	5.972	8.627820897
30	3385	54611422	21.017	2.377	-0.490309783
30	3385	176871	21.017	19.707	19.31932224
30	3385	657237	21.017	-0.886	12.49007007
30	3385	104741	21.017	0.08	10.73651514
30	3385	3657	21.017	2.904	0.172941163
