data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
76	3385	11960529	9.047	-0.321	-3.908866969
76	3385	24856436	9.047	12.688	-0.41107123
76	3385	11977753	9.047	43.123	-10.69659441
76	3385	387447	9.047	51.378	-1.651173774
76	3385	3062316	9.047	27.866	-6.184314411
76	3385	46926350	9.047	30.346	-4.992935616
76	3385	176870	9.047	4.986	0.413537297
76	3385	5288382	9.047	61.419	-3.674084948
76	3385	216453	9.047	10.431	7.225398627
76	3385	208908	9.047	6.651	0.732408225
76	3385	24964624	9.047	22.714	-0.22249914
76	3385	24958200	9.047	8.814	-6.154629171
76	3385	24748204	9.047	4.211	3.864878545
76	3385	11520894	9.047	35.159	-5.88942073
76	3385	16224745	9.047	22.61	-1.728563641
76	3385	9826528	9.047	40.261	-23.83036989
76	3385	216239	9.047	37.703	-4.776470098
76	3385	5329102	9.047	2.604	4.034239318
76	3385	5394	9.047	5.052	-0.913503397
76	3385	5311	9.047	11.108	-5.862278867
76	11960529	11977753	-0.321	43.123	-28.22627413
76	11960529	46926350	-0.321	30.346	-38.11439492
76	11960529	5288382	-0.321	61.419	-26.3243503
76	11960529	11520894	-0.321	35.159	-19.56960153
76	11960529	16224745	-0.321	22.61	-22.86334738
76	11960529	71301229	-0.321	19.923	-20.5687962
76	11960529	104842	-0.321	16.567	-28.27325625
76	11960529	216239	-0.321	37.703	-9.322038238
76	11960529	60700	-0.321	56.861	-32.51972972
76	24856436	11960529	12.694	-0.321	-29.71668242
76	24856436	11977753	12.694	43.123	4.670673011
76	24856436	387447	12.694	51.378	-4.513577621
76	24856436	3062316	12.694	27.866	11.33638049
76	24856436	46926350	12.694	30.346	-8.470833301
76	24856436	176870	12.694	4.986	-1.307526757
76	24856436	5288382	12.694	61.419	-6.706174916
76	24856436	208908	12.694	6.651	-2.085210815
76	24856436	24964624	12.694	22.714	4.072782556
76	24856436	24958200	12.694	8.814	-0.866329307
76	24856436	24748204	12.694	4.211	-7.036528596
76	24856436	11520894	12.694	35.159	3.297780033
76	24856436	16224745	12.694	22.61	14.89100695
76	24856436	71301229	12.694	19.923	-8.549846678
76	24856436	9826528	12.694	40.261	-3.987184568
76	24856436	104842	12.694	16.567	-1.662334714
76	24856436	216239	12.694	37.703	2.186489186
76	24856436	60700	12.694	56.861	-7.627241972
76	11977753	46926350	43.123	30.346	3.133127563
76	11977753	16224745	43.123	22.61	1.072110753
76	11977753	71301229	43.123	19.923	-4.651904628
76	11977753	104842	43.123	16.567	2.804464755
76	11977753	216239	43.123	37.703	7.20594031
76	387447	11960529	51.392	-0.321	-47.96576673
76	387447	11977753	51.392	43.123	-0.340989913
76	387447	3062316	51.392	27.866	-1.943695864
76	387447	46926350	51.392	30.346	-7.314046886
76	387447	5288382	51.392	61.419	-4.409338993
76	387447	11520894	51.392	35.159	-0.421564644
76	387447	16224745	51.392	22.61	-2.951909919
76	387447	71301229	51.392	19.923	-6.96785362
76	387447	104842	51.392	16.567	-4.455306573
76	387447	216239	51.392	37.703	-4.834903626
76	387447	60700	51.392	56.861	-2.816731361
76	426756	11960529	11.847	-0.321	-4.634363305
76	426756	24856436	11.847	12.688	-2.439747073
76	426756	11977753	11.847	43.123	2.415656909
76	426756	387447	11.847	51.378	0.279106494
76	426756	3062316	11.847	27.866	0.662048951
76	426756	46926350	11.847	30.346	-8.214630165
76	426756	176870	11.847	4.986	-2.294959605
76	426756	5288382	11.847	61.419	-8.154707868
76	426756	216453	11.847	10.431	-0.003459874
76	426756	208908	11.847	6.651	-0.820882977
76	426756	24964624	11.847	22.714	0.92922142
76	426756	24958200	11.847	8.814	-2.104500744
76	426756	24748204	11.847	4.211	-1.332762673
76	426756	11520894	11.847	35.159	1.635180293
76	426756	16224745	11.847	22.61	2.311448264
76	426756	9826528	11.847	40.261	-6.419567178
76	426756	216239	11.847	37.703	-6.127462271
76	426756	5329102	11.847	2.604	1.295693221
76	426756	5394	11.847	5.052	-7.575968813
76	426756	5311	11.847	11.108	-10.08384195
76	2907	11960529	0.459	-0.321	4.995640814
76	2907	24856436	0.459	12.688	-28.97145015
76	2907	11977753	0.459	43.123	-28.64455538
76	2907	387447	0.459	51.378	-49.63318131
76	2907	3062316	0.459	27.866	-18.9801009
76	2907	46926350	0.459	30.346	-36.91243987
76	2907	176870	0.459	4.986	-15.25142569
76	2907	5288382	0.459	61.419	-25.7336003
76	2907	216453	0.459	10.431	-4.113105328
76	2907	208908	0.459	6.651	-11.06546151
76	2907	24964624	0.459	22.714	-10.66520054
76	2907	24958200	0.459	8.814	-11.9745072
76	2907	24748204	0.459	4.211	3.550133242
76	2907	11520894	0.459	35.159	-16.18242965
76	2907	16224745	0.459	22.61	-19.66870675
76	2907	9826528	0.459	40.261	-45.9790383
76	2907	216239	0.459	37.703	-10.57449136
76	2907	5329102	0.459	2.604	4.398410917
76	2907	5394	0.459	5.052	3.864297035
76	2907	5311	0.459	11.108	-31.12651694
76	3062316	11960529	27.866	-0.321	-17.47582055
76	3062316	11977753	27.866	43.123	6.631147731
76	3062316	46926350	27.866	30.346	-2.564794007
76	3062316	5288382	27.866	61.419	2.245723044
76	3062316	11520894	27.866	35.159	11.25308697
76	3062316	16224745	27.866	22.61	7.975968595
76	3062316	71301229	27.866	19.923	-5.519629809
76	3062316	104842	27.866	16.567	0.740436889
76	3062316	216239	27.866	37.703	8.678125433
76	3062316	60700	27.866	56.861	1.524012513
76	5743	11960529	2.355	-0.321	-5.350378634
76	5743	24856436	2.355	12.688	-2.343649939
76	5743	11977753	2.355	43.123	-1.273462036
76	5743	387447	2.355	51.378	-3.470889261
76	5743	3062316	2.355	27.866	-5.562367514
76	5743	46926350	2.355	30.346	-8.06786984
76	5743	176870	2.355	4.986	-3.539083099
76	5743	5288382	2.355	61.419	-11.21941078
76	5743	216453	2.355	10.431	2.414615262
76	5743	208908	2.355	6.651	-3.520787796
76	5743	24964624	2.355	22.714	1.491583713
76	5743	24958200	2.355	8.814	-3.227415371
76	5743	24748204	2.355	4.211	2.260460496
76	5743	11520894	2.355	35.159	-2.027266008
76	5743	16224745	2.355	22.61	-3.567494907
76	5743	9826528	2.355	40.261	-26.26128632
76	5743	216239	2.355	37.703	-4.156241754
76	5743	5329102	2.355	2.604	4.82455756
76	5743	5394	2.355	5.052	-2.892338429
76	5743	5311	2.355	11.108	-7.952166006
76	46926350	16224745	30.345	22.61	-3.616290997
76	31703	11960529	39.178	-0.321	-58.63975462
76	31703	24856436	39.178	12.688	-12.13762046
76	31703	11977753	39.178	43.123	-1.511862108
76	31703	387447	39.178	51.378	-7.290302173
76	31703	3062316	39.178	27.866	-6.106314914
76	31703	46926350	39.178	30.346	-5.328517243
76	31703	176870	39.178	4.986	-6.456356516
76	31703	5288382	39.178	61.419	-1.966694128
76	31703	216453	39.178	10.431	-38.73272479
76	31703	208908	39.178	6.651	-5.655096938
76	31703	24964624	39.178	22.714	-9.987702239
76	31703	24958200	39.178	8.814	-13.60907474
76	31703	24748204	39.178	4.211	-29.73935214
76	31703	11520894	39.178	35.159	0.87909911
76	31703	16224745	39.178	22.61	-7.864814365
76	31703	9826528	39.178	40.261	2.041551009
76	31703	216239	39.178	37.703	-7.4246819
76	31703	5329102	39.178	2.604	-66.30199942
76	31703	5394	39.178	5.052	-37.33489513
76	31703	5311	39.178	11.108	-1.817950309
76	176870	11960529	4.966	-0.321	-15.32625811
76	176870	11977753	4.966	43.123	4.74410573
76	176870	387447	4.966	51.378	-0.450269477
76	176870	3062316	4.966	27.866	6.075310726
76	176870	46926350	4.966	30.346	-0.029895477
76	176870	5288382	4.966	61.419	0.442321216
76	176870	11520894	4.966	35.159	8.511219669
76	176870	16224745	4.966	22.61	1.623237842
76	176870	71301229	4.966	19.923	-10.04338656
76	176870	9826528	4.966	40.261	0.353351183
76	176870	104842	4.966	16.567	-2.995257097
76	176870	216239	4.966	37.703	1.194184284
76	176870	60700	4.966	56.861	3.175633022
76	36462	11960529	20.944	-0.321	-32.37958669
76	36462	24856436	20.944	12.688	0.759306739
76	36462	11977753	20.944	43.123	3.509323537
76	36462	387447	20.944	51.378	-4.057397114
76	36462	3062316	20.944	27.866	1.386812045
