data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
29	248862	32874	2.8905	22.7985	-18.52685303
29	248862	135401907	-4.9	-3.189	-2.457602165
29	248862	2141	-1.951	1.928	1.030549923
29	248862	123608	-2.956	-1.656	-2.55968252
29	248862	2187	29.238	-1.632	-2.278304884
29	248862	5284616	-3.824	8.082	-6.719098202
29	248862	9444	-3.043	13.47	-24.75148125
29	248862	5360373	0.217	19.534	-24.14934919
29	248862	2478	-3.623	0.705	-2.84816902
29	248862	2578	-2.046	1.121	0.873572072
29	248862	354624	-2.525	29.383	-39.94392886
29	248862	441203	0.639	23.913	-16.31361105
29	248862	439693	3.878	-0.024	-3.168173729
29	248862	2907	-6.786	0.364	-4.31091441
29	248862	3062316	-3.972	1.661	-5.967836777
29	248862	148124	-9.189	4.803	-16.3278561
29	248862	24197464	3.548	19.715	-21.84446495
29	248862	54611422	-5.097	2.339	2.238052975
29	248862	176871	-1.11	2.135	7.852575539
29	248862	104741	27.848	-2.632	-9.368179919
29	248862	3690	4.031	5.44	-9.456484574
29	248862	57469	2.364	-0.598	-3.566082977
29	248862	6445540	3.179	56.563	-26.49812727
29	248862	208908	-6.032	5.627	-5.741117041
29	248862	5935	-4.399	3.97	-8.831872978
29	248862	4114	2.253	1.638	-7.746224081
29	248862	5746	-5.784	20.942	-30.62011829
29	248862	4211	30.155	0.021	-11.99300861
29	248862	23615975	-5.793	-7.04	-7.507023372
29	248862	451668	-0.18	15.363	-2.845623852
29	248862	21864423	5.452	24.877	-7.180388664
29	248862	54608520	-5.862	1.762	-6.644840657
29	248862	4842	-1.457	14.014	-9.880171765
29	248862	148121	23.54	67.702	-1.379642629
29	248862	9703	-15.347	-3.784	-2.372155705
29	248862	6239	-0.079	16.801	-37.86990381
29	248862	104842	-9.784	15.878	-34.17706243
29	248862	216239	-1.899	-0.046	0.326743301
29	248862	5329102	-6.852	0.351	-4.89265939
29	248862	5426	-8.928	-5.526	-7.147765677
29	248862	60699	0.376	26.668	-21.21833563
29	248862	5799	2.964	22.531	-5.081965199
29	248862	5388983	24.739	-2.024	1.339824209
29	248862	68740	5.322	0.908	-1.707741007
29	248862	5311	-8.578	20.411	-57.30396868
29	43834572	248862	-5.98	-1.265	-2.078909837
29	43834572	32874	19.6585	22.7985	-7.774629639
29	43834572	135401907	15.299	-1.243	-54.52315298
29	43834572	2141	5.331	-1.744	-86.91990369
29	43834572	123608	14.855	-2.581	-51.49388976
29	43834572	2187	16.922	-1.632	-11.24667994
29	43834572	5284616	-3.824	8.082	-0.735125988
29	43834572	9444	15.559	13.47	2.523099379
29	43834572	77082	14.48	1.809	-18.96464916
29	43834572	5360373	16.563	19.534	-1.67872612
29	43834572	387447	6.302	15.719	-0.20812511
29	43834572	2478	11.877	2.32	-31.78704317
29	43834572	426756	17.542	2.016	-18.41219888
29	43834572	2578	14.041	1.861	-44.0268407
