data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
11	248862	32874	-1.718	9.394	-52.65122492
11	248862	135401907	-5.805	-2.56	1.4810636
11	248862	2141	-0.102	-2.516	-1.390465767
11	248862	123608	-3.799	0.822	-3.479102397
11	248862	2187	14.628	2.772	5.269862231
11	248862	5284616	-11.504	0.039	-8.329191541
11	248862	9444	-17.083	9.218	-11.52935721
11	248862	5360373	-9.957	12.933	-18.96873618
11	248862	2478	-8.455	1.096	-2.604786554
11	248862	2578	-7.836	-1.317	-7.698779234
11	248862	354624	2.83	4.596	-6.018809188
11	248862	441203	0.665	29.236	-25.14938028
11	248862	439693	-7.852	-1.806	-7.544684696
11	248862	2907	-14.341	-3.218	-8.795555674
11	248862	3062316	-9.114	3.702	-19.48085588
11	248862	148124	-3.02	2.114	-9.87803736
11	248862	24197464	-3.441	5.924	-20.34325435
11	248862	54611422	2.693	8.686	-6.75872877
11	248862	176871	-11.675	3.534	-15.66747815
11	248862	104741	27.077	1.203	-11.63084242
11	248862	3690	-8.251	-0.355	-8.127404024
11	248862	57469	-5.174	-2.906	-7.363366199
11	248862	6445540	-11.165	58.769	-29.18306146
11	248862	208908	-3.094	6.689	-35.03796974
11	248862	5935	-7.475	-1.109	-10.97979932
11	248862	4114	-1.822	2.705	-6.197530397
11	248862	5746	-12.035	16.796	-59.36495502
11	248862	4211	20.486	2.939	-5.904892142
11	248862	23615975	-13.094	-0.075	-8.494258931
11	248862	451668	-19.228	7.301	-45.39959855
11	248862	54608520	8.248	2.894	-2.888871786
11	248862	4842	-9.648	2.586	-1.640037828
11	248862	148121	11.539	64.256	-7.543677633
11	248862	9703	-4.458	3.849	-20.1081339
11	248862	6239	-4.592	10.215	-17.6117361
11	248862	104842	-7.292	9.65	-21.30068447
11	248862	216239	-6.795	-1.237	0.987732084
11	248862	5329102	2.269	-0.471	-6.06421592
11	248862	5426	-9.033	-0.29	-7.051070929
11	248862	60699	-2.193	12.097	-20.90506491
11	248862	5799	-4.191	3.829	-33.07500722
11	248862	5388983	20.965	-0.95	1.284219239
11	248862	68740	3.185	5.369	0.706023676
11	248862	5311	-9.142	-0.922	-7.542475392
11	43834572	248862	-3.234	-5.724	-14.53384107
11	43834572	32874	2.302	9.394	-4.10070767
11	43834572	135401907	2.37	4.25	-2.674464322
11	43834572	2141	1.582	5.272	-3.647962625
11	43834572	123608	4.914	9.702	-3.971602007
11	43834572	2187	3.145	2.772	-11.13088041
11	43834572	5284616	-4.094	0.039	-8.840299509
11	43834572	9444	-9.439	9.218	5.377113832
11	43834572	77082	3.265	-3.035	-19.76335448
11	43834572	5360373	5.526	12.933	-2.41338345
11	43834572	2478	0.751	0.02	-11.09743185
11	43834572	426756	7.048	0.097	-26.89492647
11	43834572	2578	2.943	-0.414	-13.65338996
11	43834572	1546	16.211	2.425	-10.6590823
11	43834572	354624	-16.743	4.596	-8.732393295
11	43834572	441203	-14.911	26.345	-7.060661361
11	43834572	439693	-4.658	1.91	0.282751214
11	43834572	2907	-3.701	-0.397	-13.90695658
11	43834572	6252	18.531	14.701	3.365454089
11	43834572	3062316	-8.293	3.702	0.118437313
11	43834572	148124	-3.808	2.114	-1.445774501
11	43834572	24197464	-1.118	15.154	-2.059598851
11	43834572	54611422	-5.605	2.735	1.754582285
11	43834572	176871	7.852	1.072	-6.050183827
11	43834572	657237	16.171	-4.977	-13.13496614
11	43834572	104741	9.203	1.203	-17.03447636
11	43834572	3657	-4.599	-4.777	-8.922067729
11	43834572	3690	-8.652	-2.229	-8.215260796
11	43834572	5291	11.674	1.501	-16.3654132
11	43834572	57469	8.463	-0.9	-15.39576503
11	43834572	6445540	-8.504	63.402	-18.44964936
11	43834572	208908	-7.524	6.689	-3.560990898
11	43834572	5935	-2.767	-1.109	-6.800748614
11	43834572	667490	1.97	37.072	-0.505550835
11	43834572	4114	-3.314	-7.27	-10.87436682
11	43834572	5746	-1.792	14.062	-7.822293617
11	43834572	4211	7.656	2.939	-13.11711885
11	43834572	644241	1.296	-1.456	-8.525463474
11	43834572	451668	6.112	6.456	5.461946867
11	43834572	54608520	-2.061	2.894	-8.34036174
11	43834572	4842	-3.369	2.198	-5.390310094
11	43834572	163659	-4.044	28.133	-1.929678033
11	43834572	148121	1.235	64.258	-7.389030792
11	43834572	9703	0.68	-4.256	-14.64880931
11	43834572	6239	6.857	13.902	-21.60124525
11	43834572	5352062	-10.82	18.992	-8.250725188
11	43834572	104842	-0.049	9.65	-9.212092874
11	43834572	216239	-5.876	-1.237	-11.65398226
11	43834572	5329102	-3.943	-0.471	-14.34175384
11	43834572	2733525	10.319	-1.316	-61.13931184
11	43834572	5394	2.954	-0.418	-4.969529368
11	43834572	5426	-4.19	-5.023	-3.382992751
11	43834572	60699	4.044	27.775	-5.86784978
11	43834572	444795	11.026	-3.473	-23.24048636
11	43834572	5799	-3.864	3.829	2.99421638
11	43834572	5388983	2.612	-0.95	-7.201160176
11	43834572	5388992	14.178	13.47	-2.238692256
11	43834572	68740	-7.988	5.369	-4.540823282
11	43834572	5311	-14.4	-0.922	-5.82454733
11	3385	248862	41.106	-4.733	-11.09325667
11	3385	43834572	48.909	23.038	-4.230501263
11	3385	11960529	31.89	2.721	-1.153860531
11	3385	2019	48.909	0.143	2.770838877
11	3385	135401907	48.909	0.614	-22.86386446
11	3385	2123	48.909	-3.207	-10.15714076
11	3385	2141	47.873	-5.95	-15.41015798
11	3385	123608	48.909	8.215	-4.53688124
11	3385	2187	48.909	0.85	-6.780789065
11	3385	5284616	48.909	16.981	-5.026419816
11	3385	9444	48.909	2.04	-1.560929971
11	3385	24856436	31.89	38.785	-9.216309167
11	3385	77082	48.909	1.675	-18.0748057
11	3385	11977753	31.89	40.038	-8.733987992
11	3385	5360373	41.877	7.844	0.541400355
11	3385	387447	35.2938	43.849	-2.110028644
11	3385	2478	48.909	-0.562	-18.08193911
11	3385	426756	48.909	10.988	-2.570097143
11	3385	2578	48.909	1.914	-6.203951232
11	3385	2662	48.909	1.615	-12.12364486
11	3385	1546	48.909	0.094	-4.751390107
11	3385	354624	48.909	9.235	2.20102199
11	3385	2708	48.909	16.745	-6.303892028
11	3385	441203	48.909	-2.856	-10.18217787
11	3385	439693	48.909	1.785	-10.33909835
11	3385	11626560	48.909	-3.053	-7.028248671
11	3385	2907	48.909	-7.392	-21.46705022
11	3385	6252	48.909	17.222	-1.089399248
11	3385	3062316	33.6298	47.1638	5.865237881
11	3385	46926350	31.89	29.14	-11.24284648
11	3385	148124	48.909	43.875	0.50986732
11	3385	24197464	48.909	3.531	-4.749248671
11	3385	54611422	48.909	3.787	-14.65010837
11	3385	176870	31.89	30.519	9.284152377
11	3385	176871	48.909	9.195	-4.227302688
11	3385	657237	48.909	-0.14	-8.438478343
11	3385	104741	48.909	-1.978	-8.532804227
11	3385	5288382	31.89	15.766	3.250164335
11	3385	3657	48.909	-2.89	-27.08924674
11	3385	3690	48.909	-1.512	-24.44816133
11	3385	5291	48.909	-2.384	-3.654288978
11	3385	57469	48.909	-2.998	-0.210793554
11	3385	6445540	48.909	-0.91	-5.609976502
11	3385	216453	31.89	-8.996	-6.665010512
11	3385	208908	35.2938	9.7454	0.890978759
11	3385	3902	48.909	-0.122	-7.719351824
11	3385	5935	48.909	1.019	-1.57800586
11	3385	9927978	48.909	6.41	3.762474388
11	3385	667490	48.909	37.118	-12.59476386
11	3385	126941	48.215	18.127	-3.656118912
11	3385	4114	48.909	-10.805	-5.128033898
11	3385	5746	48.909	2.492	2.223057817
11	3385	4211	48.909	-0.062	-8.257705738
11	3385	24964624	31.89	51.811	3.138558274
11	3385	24958200	31.89	5.078	-9.739958926
11	3385	24748204	31.89	9.241	4.103484821
11	3385	11520894	31.89	11.841	1.890757091
11	3385	16224745	31.89	34.525	2.844100131
11	3385	644241	48.909	-3.535	-4.18532761
11	3385	23615975	48.909	-4.271	-23.38916133
11	3385	451668	48.909	14.54	-4.315559433
11	3385	54608520	48.909	14.129	-3.211070687
11	3385	36314	48.909	32.255	-6.901354693
11	3385	9826528	31.89	11.591	6.925032375
11	3385	4842	45.102	-1.065	-4.531949008
11	3385	163659	48.909	0.699	-5.047864968
11	3385	148121	48.909	-0.399	-6.490296512
11	3385	9703	48.909	0.167	-13.28826129
11	3385	6239	48.909	1.706	-9.813823305
