data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
75	3385	11960529	47.578	-0.081	-14.83636068
75	3385	24856436	47.578	16.422	8.956802031
75	3385	11977753	47.578	44.461	6.75969512
75	3385	387447	47.578	62.535	-5.583904709
75	3385	3062316	47.578	71.13	10.75448122
75	3385	46926350	47.578	53.722	-1.448721634
75	3385	176870	47.578	16.663	4.769434872
75	3385	5288382	47.578	7.085	1.153004467
75	3385	216453	47.578	33.677	10.32378604
75	3385	208908	47.578	3.116	7.156564594
75	3385	24964624	47.578	8.188	8.601786001
75	3385	24958200	47.578	35.108	3.058227613
75	3385	24748204	47.578	59.74	6.59231963
75	3385	11520894	47.578	15.751	12.63899076
75	3385	16224745	47.578	10.773	0.153551514
75	3385	9826528	47.578	9.844	6.950069584
75	3385	216239	47.578	70.575	1.180659527
75	3385	5329102	47.578	18.599	10.83302195
75	3385	5394	47.578	6.769	-2.992079611
75	3385	5311	47.578	52.221	-0.909731043
75	11960529	11977753	-0.081	44.461	-30.43942697
75	11960529	46926350	-0.081	53.722	-45.16206219
75	11960529	5288382	-0.081	7.085	-40.10151037
75	11960529	11520894	-0.081	15.751	-9.393244961
75	11960529	16224745	-0.081	10.773	-15.33708273
75	11960529	71301229	-0.081	79.267	-25.66137407
75	11960529	104842	-0.081	46.299	-36.41496855
75	11960529	216239	-0.081	70.575	-5.154747557
75	11960529	60700	-0.081	96.292	-4.219707884
75	24856436	11960529	16.426	-0.081	-48.82283863
75	24856436	11977753	16.426	44.461	5.951541992
75	24856436	387447	16.426	62.535	-10.31237823
75	24856436	3062316	16.426	71.13	4.791023044
75	24856436	46926350	16.426	53.722	-6.833374967
75	24856436	176870	16.426	16.663	0.605819923
75	24856436	5288382	16.426	7.085	-1.070611611
75	24856436	208908	16.426	3.116	7.013726812
75	24856436	24964624	16.426	8.188	-2.536592479
75	24856436	24958200	16.426	35.108	14.52564915
75	24856436	24748204	16.426	59.74	2.729503036
75	24856436	11520894	16.426	15.751	9.356696579
75	24856436	16224745	16.426	10.773	17.37854119
75	24856436	71301229	16.426	79.267	-1.503746151
75	24856436	9826528	16.426	9.844	8.323810246
75	24856436	104842	16.426	46.299	2.568750914
75	24856436	216239	16.426	70.575	-1.546108518
75	24856436	60700	16.426	96.292	-2.66446909
75	11977753	46926350	44.461	53.722	0.2024641
75	11977753	16224745	44.461	10.773	6.502390847
75	11977753	71301229	44.461	79.267	-1.041384005
75	11977753	104842	44.461	46.299	3.304108881
75	11977753	216239	44.461	70.575	-0.146331507
75	387447	11960529	62.546	-0.081	-45.65168305
75	387447	11977753	62.546	44.461	-1.588403104
75	387447	3062316	62.546	71.13	-0.870557796
75	387447	46926350	62.546	53.722	-7.609430876
