data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
4	248862	32874	-2.1	15.3605	-15.05909078
4	248862	135401907	-4.896	-0.4	-4.980823756
4	248862	2141	-6.774	-0.727	-5.665577089
4	248862	123608	2.304	10.542	-4.337834535
4	248862	2187	5.706	-0.892	-0.889020524
4	248862	5284616	-4.807	3.859	-34.34606851
4	248862	9444	-5.886	5.998	-3.766465363
4	248862	5360373	-1.736	6.531	-16.97029544
4	248862	387447	-5.753	9.188	-50.13785711
4	248862	2478	-9.768	0.185	-4.169235357
4	248862	2578	-4.373	-1.981	-5.270612701
4	248862	354624	-10.838	12.239	-24.69770017
4	248862	441203	-2.695	8.788	-7.581162762
4	248862	439693	-8.775	-3.086	-4.46148497
4	248862	2907	-6.426	2.279	-8.672012506
4	248862	3062316	-2.369	10.721	-59.55766712
4	248862	148124	-4.337	1.398	-5.191390372
4	248862	24197464	-1.739	5.168	-8.549517415
4	248862	54611422	-6.688	-1.2	-9.530519397
4	248862	176871	-4.809	6.645	-14.15256385
4	248862	104741	11.612	-0.257	-7.773931463
4	248862	3690	-15.133	-3.474	-9.855482754
4	248862	57469	-1.696	4.418	-5.021071114
4	248862	6445540	2.04	36.362	-6.15094908
4	248862	208908	-3.621	6.182	-18.54659784
4	248862	5935	0.759	6.026	-4.759660591
4	248862	4114	-17.287	-0.817	-13.65858932
4	248862	5746	-7.419	22.162	-36.71729127
4	248862	4211	12.873	1.509	-6.324139704
4	248862	23615975	-8.559	0.406	-10.06714219
4	248862	451668	-10.887	-4.373	-11.26177773
4	248862	21864423	0.028	20.658	-36.21692686
4	248862	54608520	-3.307	2.179	-3.730742
4	248862	36314	-6.12	9.252	-24.38586315
4	248862	4842	-0.503	3.197	-7.863493784
4	248862	9703	-7.462	-0.393	-10.76161458
4	248862	6239	0.332	3.881	-11.13113228
4	248862	5352062	-4.786	28.195	-48.5796029
4	248862	104842	-4.226	7.814	-27.72351156
4	248862	216239	-4.622	1.332	-4.427867901
4	248862	5329102	-5.36	1.748	-9.201318588
4	248862	5426	-13.144	1.398	-12.17964182
4	248862	60699	-5.276	6.301	-27.4062982
4	248862	5799	-4.507	18.434	-21.90446855
4	248862	5388983	4.322	-0.026	-6.094180442
4	248862	68740	-2.023	1.295	-1.665535774
4	248862	5311	-3.955	7.52	-14.71548867
4	43834572	248862	4.43	-2.648	-18.13755753
4	43834572	32874	11.605	15.3605	-3.256936628
4	43834572	135401907	3.159	0.468	-7.051959982
4	43834572	2141	3.362	-1.413	-19.88318043
4	43834572	123608	2.156	2.564	-4.341239298
4	43834572	2187	3.923	-0.892	-16.07442238
4	43834572	5284616	13.795	3.859	-1.703547513
4	43834572	9444	5.408	5.998	3.460836651
4	43834572	77082	2.562	-0.027	-10.77545555
4	43834572	5360373	10.412	6.531	-1.453347442
4	43834572	387447	3.909	19.331	-10.67662399
4	43834572	2478	3.217	-0.25	-5.690565297
4	43834572	2578	2.619	-0.604	-10.95877228
4	43834572	1546	6.203	3.698	-10.27475069
4	43834572	354624	14.709	12.239	-10.48050404
4	43834572	441203	-4.772	17.508	-5.506675299
4	43834572	439693	5.697	-0.566	-8.547582002
4	43834572	2907	10.53	-0.68	-92.01768063
4	43834572	6252	6.453	16.937	1.045884856
4	43834572	3062316	9.839	10.721	1.057836959
4	43834572	148124	0.753	1.398	-1.77358104
4	43834572	24197464	5.43	0.353	-18.35175451
4	43834572	54611422	-1.673	0.151	-6.866311223
4	43834572	176871	6.72	7.021	-0.024696129
4	43834572	657237	12.929	11.875	-10.8123216
4	43834572	104741	3.086	-0.257	-24.34895038
4	43834572	3657	1.906	-2.182	-10.8504012
4	43834572	3690	3.971	-2.244	-9.93685583
4	43834572	5291	6.753	-3.483	-36.94187187
4	43834572	57469	2.721	-0.474	-6.742734561
4	43834572	6445540	0.273	43.295	-12.09783461
4	43834572	208908	7.545	6.182	-6.551095605
4	43834572	5935	9.898	6.026	-17.61791431
4	43834572	667490	4.49	24.659	-2.111785148
4	43834572	4114	5.915	-1.457	-13.78000829
4	43834572	5746	1.557	7.174	-0.880482356
4	43834572	4211	11.535	1.509	-7.85010589
4	43834572	644241	13.728	-0.239	-16.69258556
4	43834572	23615975	2.884	-1.387	-7.272156873
4	43834572	451668	5.738	-3.043	-12.53353679
4	43834572	21864423	19.828	20.658	-7.053537623
4	43834572	54608520	4.074	2.179	-12.90911886
4	43834572	36314	0.737	9.252	-5.612066317
4	43834572	4842	4.275	4	1.429464226
4	43834572	163659	1.995	13.635	-20.35615634
4	43834572	148121	2.843	53.597	-9.002908373
4	43834572	9703	3.429	-0.191	-11.04800791
4	43834572	6239	14.696	9.066	-12.85084768
4	43834572	5352062	2.696	28.195	-20.71574808
4	43834572	104842	2.942	7.814	-4.683100564
4	43834572	216239	2.116	1.332	-19.81604639
4	43834572	5329102	5.366	1.748	-6.883497901
4	43834572	2733525	9.376	1.267	-14.7294982
4	43834572	5394	13.838	-1.452	-24.38239077
4	43834572	5426	3.926	1.001	-50.3544565
4	43834572	60699	7.936	18.085	-10.54878955
4	43834572	444795	5.86	1.264	1.701879959
4	43834572	5799	2.958	18.434	-6.839015277
4	43834572	5388983	3.566	-0.025	-2.356145685
4	43834572	5388992	14.827	6.036	-0.575657418
4	43834572	68740	5.202	1.295	-14.11264284
4	43834572	5311	1.251	7.52	-1.257599586
4	3385	248862	22.991	-4.34	-9.519890077
4	3385	43834572	19.369	29.617	6.855802767
4	3385	11960529	8.485	-2.506	-8.111318635
4	3385	2019	19.369	-1.316	8.524135093
4	3385	32874	19.369	24.319	3.109286339
4	3385	135401907	19.369	0.549	-5.284269213
4	3385	2123	19.369	-0.983	-2.005800031
4	3385	2141	26.616	-0.068	-3.020479631
4	3385	123608	19.369	5.753	5.254137131
4	3385	2187	19.369	2.174	4.226790399
4	3385	5284616	19.369	30.706	3.732494507
4	3385	9444	19.369	-1.004	1.365135863
4	3385	24856436	8.485	19.651	5.05390609
4	3385	77082	19.369	0.029	-3.007963479
4	3385	11977753	8.485	44.971	2.999175531
4	3385	5360373	22.904	1.913	3.224471664
4	3385	387447	10.6618	30.6944	-7.472560508
4	3385	2478	19.369	-0.06	-2.466490133
4	3385	426756	19.369	7.117	2.569125331
4	3385	2578	19.369	-1.302	5.476403987
4	3385	2662	19.369	1.068	0.500435025
4	3385	1546	19.369	-1.183	3.498737925
4	3385	354624	19.369	26.944	-0.935909043
4	3385	2708	19.369	8.864	7.733099593
4	3385	441203	19.369	0.785	4.907516595
4	3385	439693	19.369	2.993	2.603045058
4	3385	11626560	19.369	2.143	6.303112257
4	3385	2907	19.369	-3.195	-3.861490133
4	3385	6252	19.369	8.912	5.704816741
4	3385	3062316	14.147	55.3008	-2.240804324
4	3385	46926350	8.485	11.68	-4.786763527
4	3385	148124	19.369	27.102	6.371309652
4	3385	24197464	19.369	3.366	4.102178859
4	3385	54611422	19.369	-0.307	-2.319654126
4	3385	176870	8.485	26.852	1.998669541
4	3385	176871	19.369	6.888	6.004947693
4	3385	657237	19.369	1.997	3.304146623
4	3385	104741	19.369	2.074	4.186775909
4	3385	5288382	8.485	38.527	-0.394537949
4	3385	3657	19.369	-3.115	-9.726244158
4	3385	3690	19.369	-0.933	-1.277601244
4	3385	5291	19.369	-2.647	6.789294373
4	3385	57469	19.369	-1.135	8.492363235
4	3385	6445540	19.369	2.59	9.479638127
4	3385	216453	8.485	5.559	5.79650279
4	3385	208908	10.6618	21.9528	4.407733138
4	3385	3902	19.369	0.395	3.909201221
4	3385	5935	19.369	-1.213	3.627728706
4	3385	9927978	19.369	0.836	9.225170173
4	3385	667490	19.369	20.473	-9.6022369
4	3385	126941	24.691	12.365	-4.334587569
4	3385	4114	19.369	-0.72	2.644293127
4	3385	5746	19.369	14.202	4.039510992
4	3385	4211	19.369	0.679	1.790267481
4	3385	24964624	8.485	21.321	4.165332557
4	3385	24958200	8.485	5.157	-8.270260095
4	3385	24748204	8.485	2.449	7.0384298
4	3385	11520894	8.485	21.065	10.70639644
4	3385	16224745	8.485	23.65	0.737637639
4	3385	644241	19.369	-0.775	8.398002468
4	3385	23615975	19.369	1.4	-2.316045689
4	3385	451668	19.369	-1.852	-0.730154474
4	3385	21864423	19.369	20.658	-0.055952448
4	3385	54608520	19.369	23.332	8.34272732
4	3385	36314	19.369	29.26	-10.55063218
4	3385	9826528	8.485	8.322	1.475530695
4	3385	4842	24.331	1.196	-2.850817819
4	3385	163659	19.369	0.27	6.985649411
4	3385	148121	19.369	2.241	8.824183152
4	3385	9703	19.369	-2.004	1.445823037
4	3385	6239	19.369	11.118	7.345350867
4	3385	5352062	19.369	34.523	4.890469422
4	3385	104842	19.369	20.946	5.65535756
4	3385	216239	10.6618	11.8884	5.966718001
4	3385	5329102	10.6618	22.2806	6.864900842
4	3385	2733525	19.369	1.489	3.246201221
4	3385	5394	10.6618	-6.2552	-24.38229861
4	3385	5426	19.369	1.006	8.830768358
