MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
854	54761306	23725625	-0.020814823	0.01624629
854	24856436	23725625	-0.035835687	0.00683747
854	24856436	54761306	-0.035458233	0.054426733
854	16007391	23725625	-0.031715364	-0.010806339
854	16007391	54761306	-0.064945111	-0.031262827
854	16007391	24856436	-0.060176065	-0.043518496
854	118502708	24856436	-0.030995942	-0.011331275
854	135151360	23725625	-0.041772224	-0.028128086
854	118502708	54761306	-0.011856667	0.007725233
854	118502708	16007391	-0.03569316	-0.025660271
854	135151360	24856436	-0.050121113	-0.004313484
854	135151360	118502708	-0.063961779	-0.035713621
854	135151360	54761306	-0.022942808	-0.001299375
854	135151360	16007391	0.008431833	0.029848476
854	46700756	23725625	-0.089094926	-0.058108465
854	46700756	54761306	-0.070650691	-0.002893711
854	46700756	24856436	0.028169792	0.109796471
854	46700756	118502708	-0.04250272	-0.024760933
854	46700756	135151360	-0.062849163	-0.047318248
854	46700756	104842	0.012649847	0.084357828
854	104842	23725625	-0.023220103	-0.00233213
854	31703	135151360	0.025065512	0.040181439
854	90132565	23725625	-0.069279342	-0.055907439
854	104842	118502708	0.042149373	0.060856879
854	3082962	23725625	-0.043027385	-0.033255683
854	131634760	24856436	-0.034577663	0.036454666
854	131634760	118502708	-0.06662691	-0.039563592
854	131634760	54761306	0.058656605	0.09640077
854	131634760	16007391	-0.004604537	0.029084165
854	131634760	135151360	-0.022792267	0.005759005
854	131634760	25227436	0.020538352	0.038940951
854	131634760	52913813	0.039019453	0.066889423
854	131634760	10127622	0.031011273	0.06285246
854	131634760	49846579	0.051088696	0.065764053
854	86661883	54761306	0.015763039	0.056986419
854	86661883	24856436	0.041949579	0.059986213
854	86661883	118502708	-0.036711045	-0.020296546
854	86661883	25227436	-0.039317245	-0.019171802
854	86661883	16007391	0.02239565	0.034276016
854	86661883	135151360	-0.023930488	-0.012298727
854	86661883	10127622	0.06359365	0.095216088
854	86661883	52913813	0.014655096	0.048480339
854	49846579	54761306	-0.045071328	0.000638976
854	49846579	24856436	0.057240363	0.087937598
854	49846579	16007391	-0.023710189	0.000996667
854	49846579	118502708	-0.00390293	0.023513191
854	49846579	135151360	-0.060548551	-0.027123093
854	49846579	25227436	-0.053814509	-0.022651147
854	49846579	52913813	-0.04671489	-0.0249395
854	11707110	51001932	0.115430348	0.147327741
854	49846579	24771867	-0.099204366	-0.061885023
854	49846579	10127622	-0.033321156	-0.005904744
854	46700756	104842	0.04957171	0.123695959
854	25227436	16007391	-0.0444091916998824	-0.0170493092382448
854	25227436	54761306	-0.0376232560527381	0.0124333525296955
854	25227436	126689157	-0.0084614643034045	0.0112404569205112
854	25227436	118693659	-0.0157526983961024	0.0123989713899192
854	25227436	5330286	-0.0124352806796146	0.0056406198135995
854	25227436	10127622	0.0078993075972191	0.0419747300368503
854	5330286	131634760	0.0187678709289678	0.0377529590118084
854	5330286	49846579	-0.0418444021230731	-0.030175197406286
854	208908	11626560	-0.0794301401827872	-0.0333702220650969
854	3062316	11707110	0.070607774714529	0.117547683088492
854	5330286	10127622	0.0077793364949659	0.0226143208279133
854	208908	24964624	0.0263982977958928	0.0586192570069988
854	118693659	24856436	-0.0373024359248785	0.0701553607704448
854	118693659	131634760	0.0331827146025131	0.0707724873413528
854	118693659	54761306	0.0157087554555127	0.0972173547877856
854	118693659	16007391	-0.0148814725915612	0.0160291129404248
854	118693659	49846579	-0.0470585240046666	-0.0286191556276035
854	118693659	10127622	-0.0242377414583478	0.0357412379422905
854	68289010	131634760	-0.0332028429403681	-0.0111662948228401
854	68289010	49846579	-0.0274435590013384	-0.0154597692649903
854	10127622	54761306	0.0516915716649509	0.0772865781907059
854	10127622	16007391	-0.0203285453284431	0.000954200042088334
854	123631	126689157	-0.0400803486579561	-0.0255633103375993
854	10127622	24856436	0.0426827479286387	0.0779103787768989
854	10127622	126689157	-0.055010942078538	-0.0348614898910959
854	54761306	60749	0.0760708210118268	0.0998036270631718
854	24856436	60749	0.0284488235073329	0.0786125719528401
854	72165232	60749	-0.0078551638724192	0.0278258606251056
854	52913813	25227436	-0.0369847861167559	-0.0062113540413026
854	52913813	5330286	-0.0358363138796274	-0.0099109573102895
854	131634760	60749	0.0116799542477047	0.0387649147637819
854	86661883	36314	0.0928689046575327	0.140510347631273
854	131634760	36314	0.0479011576788711	0.0781758230414628
854	23725625	86661883	-0.0413954574272565	-0.0189654489686258
854	23725625	118693659	-0.0230981579758954	-0.001412143154697
854	23725625	131634760	-0.0545692630397205	-0.0306378111537027
854	23725625	49846579	-0.048185958921094	-0.035538242954107
854	54761306	10339178	0.0222282518536118	0.0396875566469729
854	131634760	208908	-0.0119673746221731	0.0307377885059886
854	135151360	36462	0.071639000475547	0.0881123126927996
854	86661883	208908	0.0391712447554769	0.0839435381353167
854	24856436	104842	-0.005297485061153	0.100689504922964
854	72165232	3385	-0.035130845864537	-0.0175120798002294
854	72165232	24856436	-0.0194190060853942	0.069779803370613
854	51001932	24866313	0.0721194320625833	0.110896801206008
854	208908	10127622	-0.0116258344588783	0.0228469823703148
854	11626560	10127622	-0.0482686655430429	-0.0169790698329548
854	86661883	60749	0.0215982029756353	0.0498451956539851
854	72165232	104842	-0.0092974286788949	0.0703917288873838
854	11626560	3062316	-0.0037757933808426	0.0404548657583883
854	49846579	208908	-0.0414812470275197	-0.0267659121650412
