MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
896	54761306	23725625	0.024653486	0.037106173
896	24856436	23725625	0.029131632	0.050098235
896	24856436	54761306	0.093728043	0.13422088
896	16007391	23725625	0.025382709	0.042061373
896	16007391	54761306	0.005168705	0.028476021
896	16007391	24856436	0.09757567	0.120004507
896	118502708	24856436	-0.014086194	-0.004738987
896	135151360	23725625	-0.016417711	-0.009613375
896	118502708	54761306	0.009489594	0.020600034
896	118502708	16007391	0.007773259	0.013661706
896	135151360	24856436	0.057875668	0.081365605
896	135151360	118502708	0.033357786	0.043701278
896	135151360	54761306	0.056502093	0.063404656
896	135151360	16007391	0.056478752	0.075603418
896	46700756	23725625	-0.061620297	-0.040005214
896	46700756	54761306	0.034364829	0.071432776
896	46700756	24856436	0.088432621	0.130173349
896	46700756	118502708	0.009044194	0.019527194
896	46700756	135151360	-0.028591435	-0.012633461
896	46700756	104842	-0.003724576	0.039005258
896	104842	23725625	0.116595268	0.125943488
896	31703	135151360	0.105366557	0.116490793
896	90132565	23725625	-0.035968377	-0.030909737
896	104842	118502708	0.087208377	0.097060318
896	3082962	23725625	-0.00372701	0.003021421
896	131634760	24856436	0.031923058	0.059306256
896	131634760	118502708	0.009274204	0.02315855
896	131634760	54761306	0.019745714	0.031296654
896	131634760	16007391	0.045705221	0.056829694
896	131634760	135151360	0.006303518	0.018006339
896	131634760	25227436	0.036196685	0.044442652
896	131634760	52913813	-0.002893418	0.008017279
896	131634760	10127622	-0.031329502	-0.019765544
896	131634760	49846579	-0.004494581	0.001019381
896	86661883	54761306	-0.006558485	0.00459351
896	86661883	24856436	-0.018721721	-0.007259731
896	86661883	118502708	-0.023080707	-0.016621766
896	86661883	25227436	-0.000670594	0.006926927
896	86661883	16007391	0.156014521	0.162770112
896	86661883	135151360	-0.039409403	-0.031846266
896	86661883	10127622	0.004821203	0.019628903
896	86661883	52913813	0.00747478	0.03257473
896	49846579	54761306	-0.002994416	0.014287373
896	49846579	24856436	0.100198903	0.111982229
896	49846579	16007391	-0.007064887	0.010728606
896	49846579	118502708	0.008024891	0.018894497
896	49846579	135151360	-0.011508307	-0.002293231
896	49846579	25227436	-0.001733722	0.007424392
896	49846579	52913813	-0.05002872	-0.041213437
896	11707110	51001932	0.065953811	0.09087265
896	49846579	24771867	0.024441474	0.034077594
896	49846579	10127622	-0.021413005	-0.014357524
896	46700756	104842	0.015966034	0.078372879
896	25227436	16007391	-0.0150087432480232	0.035712528670106
896	25227436	54761306	-0.0240275627231978	0.03429883810043
896	25227436	126689157	-0.0411574924565999	-0.0239743030134585
896	25227436	118693659	-0.0134819574401322	0.045712556123137
896	25227436	5330286	0.0028400423591367	0.0452409120183487
896	25227436	10127622	0.0668396837012869	0.0949118923865352
896	5330286	131634760	-0.0230055917519244	-0.0085988254718904
896	5330286	49846579	-0.0526178604115193	-0.0395802115034058
896	208908	11626560	-0.0478882780533889	-0.0051592611839367
896	3062316	11707110	0.0152561275334667	0.0683710001798541
896	5330286	10127622	0.0140668389254398	0.0380332092973307
896	208908	24964624	0.0430341234965085	0.0854129686805438
896	118693659	24856436	0.0105255267776649	0.034880047767156
896	118693659	131634760	-0.0624799398493756	-0.0491149930790342
896	118693659	54761306	0.0111005731514291	0.083592742031455
896	118693659	16007391	-0.0399983730194761	0.0143121848044994
896	118693659	49846579	-0.0149109780950924	0.000436224648464435
896	118693659	10127622	-0.0640074628793061	-0.0289526866513227
896	68289010	131634760	-0.0180144445242889	-0.0065568926844564
896	68289010	49846579	-0.0046170705918566	0.0055582379409709
896	10127622	54761306	-0.0763761726671401	-0.0452972606006965
896	10127622	16007391	-0.0192805601617733	0.0112985876712974
896	123631	126689157	-0.0314346889344604	-0.0115588780658507
896	10127622	24856436	-0.0269980102569393	0.0049804389521474
896	10127622	126689157	-0.0356907133321472	-0.019550143274742
896	54761306	60749	0.115271084144665	0.151639443036808
896	24856436	60749	0.0576434776777843	0.101325073146343
896	72165232	60749	0.107837039538938	0.128647452843667
896	52913813	25227436	0.0624092228640473	0.0844619927133549
896	52913813	5330286	0.0774496402844957	0.0974894941840909
896	131634760	60749	-0.008423903702873	0.0017169824745554
896	86661883	36314	0.0083934670154691	0.0144347432804647
896	131634760	36314	-0.0078180453809979	-0.0053567410592034
896	23725625	86661883	-0.0165499264070082	-0.0114499507049527
896	23725625	118693659	-0.0340819539731956	-0.0177210302860639
896	23725625	131634760	-0.0141893146072433	-0.0099382296261229
896	23725625	49846579	-0.0124337677982492	-0.0075814038138472
896	54761306	10339178	-0.0299811149446299	-0.0234326255935317
896	131634760	208908	0.0453119325891647	0.0546894953703621
896	135151360	36462	0.151961471980266	0.170353751407543
896	86661883	208908	0.053491172617056	0.0645040456372379
896	24856436	104842	0.0032013007407418	0.0449512480910753
896	72165232	3385	0.113676486696462	0.126298695244427
896	72165232	24856436	0.164502553556811	0.19159636193997
896	51001932	24866313	0.0521359709206075	0.0753165129495452
896	208908	10127622	0.0643846000322697	0.0808357083130241
896	11626560	10127622	-0.0354116780222925	-0.0242526635793877
896	86661883	60749	0.0433549040667777	0.0502463355051525
896	72165232	104842	-0.0056018419805071	0.0136681199657037
896	11626560	3062316	0.031996143191544	0.0526540703122374
896	49846579	208908	0.0051489479981542	0.0107264500259047
