MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1094	135151360	24856436	-0.000981043	0.059066949
1094	135151360	118502708	-0.013218049	0.012441598
1094	135151360	54761306	0.02318138	0.064596764
1094	135151360	16007391	-0.083368123	-0.042306607
1094	46700756	23725625	-0.062017538	-0.028267831
1094	46700756	54761306	-0.037760081	0.004785183
1094	46700756	24856436	-0.066549448	-0.001662421
1094	46700756	118502708	-0.068992828	-0.02104583
1094	46700756	135151360	-0.085280457	-0.037276866
1094	46700756	104842	-0.021436922	0.013859905
1094	104842	23725625	-0.011250875	0.009376385
1094	31703	135151360	-0.059361263	-0.032534159
1094	90132565	23725625	-0.065264807	-0.046687191
1094	104842	118502708	-0.076287777	-0.037442879
1094	3082962	23725625	-0.060227015	-0.041096733
1094	54761306	23725625	-0.011523247	0.013802074
1094	24856436	23725625	-0.03161753	0.003391972
1094	24856436	54761306	-0.052539242	0.027019867
1094	16007391	23725625	-0.048091538	-0.018562126
1094	16007391	54761306	-0.073985155	-0.03595749
1094	16007391	24856436	-0.043811017	-0.01672971
1094	118502708	24856436	-0.060061391	-0.027265544
1094	135151360	23725625	-0.068841293	-0.047170787
1094	118502708	54761306	-0.015404184	0.005933736
1094	118502708	16007391	-0.058604377	-0.039968825
1094	54761306	23725625	0.005810998	0.03625543
1094	24856436	23725625	-0.089600529	-0.033839776
1094	24856436	54761306	-0.082955531	-0.000741534
1094	16007391	23725625	-0.045921756	-0.018824724
1094	16007391	54761306	-0.082161633	-0.054505311
1094	16007391	24856436	-0.078779633	-0.050888776
1094	118502708	24856436	-0.03812162	-0.006135204
1094	135151360	23725625	-0.07283165	-0.050605897
1094	118502708	54761306	-0.042000555	-0.012936816
1094	118502708	16007391	-0.085626874	-0.057778429
1094	54761306	23725625	-0.021502187	0.009059648
1094	24856436	23725625	-0.028799266	0.021152956
1094	24856436	54761306	-0.070279931	0.003012178
1094	16007391	23725625	-0.069847568	-0.042061039
1094	16007391	54761306	-0.137676531	-0.102340057
1094	16007391	24856436	-0.056511175	-0.029940865
1094	118502708	24856436	-0.081269326	-0.037081885
1094	135151360	23725625	-0.06402849	-0.043486629
1094	118502708	54761306	-0.018927606	0.003402301
1094	118502708	16007391	-0.064803666	-0.042884004
1094	131634760	24856436	-0.012347451	0.043860454
1094	131634760	118502708	-0.070785802	-0.031528031
1094	131634760	54761306	-0.042064712	0.004580485
1094	131634760	16007391	-0.090041507	-0.042454378
