MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
373	54761306	23725625	-0.008264311	0.021756768
373	24856436	23725625	-0.013479064	0.023168094
373	24856436	54761306	-0.063469473	0.015985005
373	16007391	23725625	-0.050861492	-0.018036168
373	16007391	54761306	-0.04458791	-0.018975118
373	16007391	24856436	-0.088038211	-0.066611329
373	118502708	24856436	-0.011349984	0.021244579
373	135151360	23725625	-0.094471518	-0.062519307
373	118502708	54761306	-0.007180989	0.011503416
373	118502708	16007391	-0.041100092	-0.026703275
373	135151360	24856436	0.074685117	0.12895666
373	135151360	118502708	-0.006848192	0.012776914
373	135151360	54761306	0.052689242	0.090335874
373	135151360	16007391	-0.015914537	0.010748742
373	46700756	23725625	-0.093818752	-0.060710488
373	46700756	54761306	0.038815741	0.106105484
373	46700756	24856436	0.057366909	0.15188864
373	46700756	118502708	-0.001157904	0.043456877
373	46700756	135151360	-0.021081433	0.025925114
373	46700756	104842	-0.099126853	-0.025010879
373	104842	23725625	0.040855916	0.055628475
373	31703	135151360	-0.019311878	0.035801013
373	90132565	23725625	-0.089842694	-0.069238322
373	104842	118502708	-0.004714585	0.01844265
373	3082962	23725625	-0.033161036	-0.020241449
373	131634760	24856436	0.014544727	0.090967578
373	131634760	118502708	-0.032764612	0.011142627
373	131634760	54761306	-0.003684585	0.031378549
373	131634760	16007391	-0.098965023	-0.044468682
373	131634760	135151360	-0.091008918	-0.030005555
373	131634760	25227436	0.002268495	0.035291081
373	131634760	52913813	-0.018056933	0.03376483
373	131634760	10127622	-0.028368144	0.032365006
373	131634760	49846579	-0.020687364	0.016059751
373	86661883	54761306	0.006861466	0.069829632
373	86661883	24856436	0.032387513	0.127091248
373	86661883	118502708	-0.042667796	0.012283878
373	86661883	25227436	-0.069076019	-0.019015794
373	86661883	16007391	-0.062707278	-0.01377672
373	86661883	135151360	-0.065150688	-0.003023512
373	86661883	10127622	-0.075726874	0.023600767
373	86661883	52913813	-0.059521664	0.015915648
373	49846579	54761306	-0.103810679	-0.032201247
373	49846579	24856436	-0.019356618	0.015521646
373	49846579	16007391	-0.102152862	-0.05100269
373	49846579	118502708	-0.133146432	-0.089865169
373	49846579	135151360	-0.144088065	-0.093325571
373	49846579	25227436	-0.120257698	-0.085142413
373	49846579	52913813	-0.151531662	-0.117935244
373	11707110	51001932	0.044658268	0.176396641
373	49846579	24771867	-0.170372252	-0.135013337
373	49846579	10127622	-0.078375705	-0.045666449
373	46700756	104842	-0.063732213	0.018867288
373	86661883	10127622	-0.04320796	0.041150329
